,modelName,runningTime,spaceTime
0,alexnet,22093.662,3934.297
1,convnext_tiny,1376683.335,128632.489
2,efficientnet_b0,149102.171,50109.397
3,googlenet,119065.035,48718.014
4,inception_v3,241392.524,65047.892
5,mnasnet0_5,60216.99,56579.867
6,mnasnet0_75,92614.214,35863.401
7,mnasnet1_0,109955.719,26597.793
8,mnasnet1_3,144722.045,24914.91
9,mobilenet_v2,115913.06,35644.85
10,mobilenet_v3_large,88475.016,49038.6
11,mobilenet_v3_small,36217.423,77299.28
14,regnet_x_400mf,162527.462,41676.992
19,regnet_y_400mf,141412.241,51215.836
20,regnet_y_800mf,215149.578,211.935
21,resnet34,143293.736,21404.791
22,resnet50,285668.128,34505.981
23,shufflenet_v2_x0_5,25474.475,106483.248
24,shufflenet_v2_x1_0,46658.023,75478.032
25,shufflenet_v2_x1_5,62633.615,80433.889
26,shufflenet_v2_x2_0,85196.66,34056.535
27,squeezenet1_0,89605.394,2130.211
28,squeezenet1_1,49060.96,1596.301
29,vgg11,221029.699,7865.391
30,vgg11_bn,261028.208,9919.539
31,vgg13,382923.679,7653.868
32,vgg16,452428.762,7893.147
33,vgg19,521607.62,7902.937
