,model,min,max
0,efficientnet_b3,406,407
1,googlenet,197,198
2,convnext_base,371,444
3,shufflenet_v2_x0_5,185,186
4,densenet201,707,708
5,mnasnet1_0,153,154
6,densenet121,427,428
7,resnet18,69,70
8,efficientnet_b0,249,250
9,mnasnet0_5,153,154
10,mobilenet_v3_small,157,159
11,swin_t,326,389
12,shufflenet_v2_x1_0,185,186
13,vit_b_16,102,127
14,efficientnet_b2,358,359
15,convnext_tiny,191,225
16,shufflenet_v2_x1_5,185,186
17,efficientnet_v2_l,1091,1092
18,efficientnet_b6,707,708
19,vgg19,46,49
20,vgg13_bn,44,47
21,resnet101,345,346
22,shufflenet_v2_x2_0,185,186
23,mobilenet_v2,153,154
24,swin_v2_s,989,1133
25,regnet_y_32gf,334,335
26,regnet_y_16gf,302,303
27,efficientnet_b5,611,612
28,mnasnet0_75,153,154
29,vgg11,30,33
30,vgg16,40,43
31,densenet161,567,568
32,resnet50,175,176
33,regnet_x_800mf,174,175
34,swin_b,638,773
35,convnext_large,371,444
36,alexnet,22,25
37,efficientnet_b1,358,359
38,swin_v2_t,509,569
39,vit_l_16,198,247
40,efficientnet_b7,864,865
41,wide_resnet50_2,175,176
42,regnet_x_3_2gf,264,265
43,densenet169,595,596
44,mobilenet_v3_large,187,189
45,vgg16_bn,53,56
46,swin_s,638,773
47,regnet_x_32gf,244,245
48,wide_resnet101_2,345,346
49,efficientnet_b4,502,503
50,swin_v2_b,971,1133
51,regnet_x_16gf,234,235
52,regnet_x_400mf,234,235
53,resnet152,515,516
54,regnet_x_8gf,244,245
55,vgg19_bn,62,65
56,squeezenet1_0,66,66
57,resnet34,125,126
58,inception_v3,314,315
59,mnasnet1_3,153,154
60,efficientnet_v2_s,545,546
61,efficientnet_v2_m,786,787
62,regnet_x_1_6gf,194,195
63,convnext_small,371,441
64,regnet_y_128gf,446,447
65,vgg13,34,37
66,squeezenet1_1,66,66
67,vgg11_bn,38,41
