model,predict,measure
alexnet,30.254464884757997,28.71753800000001
convnext_base,2229.7714516735077,2777.9591830000004
convnext_small,1677.425462064743,1648.1579779999995
convnext_tiny,1160.2780717697144,1180.4577490000004
densenet121,490.5915742607117,477.59178899999995
densenet161,950.7154301681519,947.2828939999987
densenet169,612.8000483016967,601.5109389999997
densenet201,773.2978773059845,764.1673699999997
efficientnet_b0,232.4511671142578,227.75003500000008
efficientnet_b1,328.38252227211,318.6493859999999
efficientnet_b2,344.06212685728076,334.9249890000003
efficientnet_b3,441.956330060482,434.882078
efficientnet_b4,591.5752269854546,582.5746790000011
efficientnet_b5,814.759180952549,868.3046399999996
efficientnet_v2_m,868.42278708148,880.6218459999997
efficientnet_v2_s,525.6399271063805,511.59917099999967
googlenet,172.60171997070313,180.54408800000004
inception_v3,274.7539700317383,362.985275
mnasnet0_5,100.15017673301696,98.455008
mnasnet0_75,134.84099657440186,140.904273
mnasnet1_0,152.17169005775452,151.61767299999997
mnasnet1_3,195.4793150625229,195.38833200000002
mobilenet_v2,168.21304404449464,167.20042800000002
mobilenet_v3_large,142.9119418926239,143.59460399999995
mobilenet_v3_small,78.59349943304062,75.06981
regnet_x_16gf,1249.206556324005,2205.281904
regnet_x_1_6gf,266.9518511199951,637.165659
regnet_x_32gf,2349.746975738525,3884.991938
regnet_x_3_2gf,413.79528417396546,843.8777350000006
regnet_x_400mf,147.42001368427276,271.72869299999996
regnet_x_800mf,178.59205187606813,382.26843699999966
regnet_x_8gf,687.7724368896485,966.9819680000004
regnet_y_16gf,1352.9046186347007,2358.3691559999997
regnet_y_32gf,2093.419375573635,3080.7548750000005
resnet101,684.2338036575318,662.1217679999994
resnet152,963.886440574646,956.2733939999999
resnet18,121.60799049377441,113.93294900000001
resnet34,205.45796780586244,188.31528699999998
resnet50,413.5167412986755,392.21357899999975
shufflenet_v2_x0_5,97.80868522262573,103.8862169999999
shufflenet_v2_x1_0,104.68191149330139,104.18779400000004
shufflenet_v2_x1_5,118.14462775611878,120.78773299999995
shufflenet_v2_x2_0,141.80508151626586,144.40339900000006
squeezenet1_0,93.9798486366272,101.39410699999996
squeezenet1_1,53.89063684654236,54.811052999999994
swin_b,1521.8125907764436,1843.7837870000008
swin_s,1211.6822339978219,1183.901825
swin_t,680.0394315447808,571.2721250000002
swin_v2_b,1522.140880123198,1530.767081
swin_v2_s,1245.454245739013,1033.0445049999998
swin_v2_t,703.5352638995647,585.1205980000001
vgg11,262.40310872793196,249.397615
vgg11_bn,311.514189661026,292.59239499999995
vgg13,442.47797070503236,421.1138999999999
vgg13_bn,522.896241355896,494.83486199999993
vgg16,526.8290573592186,508.5321429999999
vgg16_bn,621.7026912384033,585.012543
vgg19,612.1592050623893,589.503164
vgg19_bn,720.3093753070831,675.202729
vit_b_16,944.6646664352417,894.1414819999995
wide_resnet101_2,1306.351312702179,1295.9290570000005
wide_resnet50_2,765.3459888420105,776.4098809999999
