op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,3236.57,3904.257080078125,77.183,84.20722961425781,3313.753,3988.464309692383
batchnorm,3963.562,4037.5927734375,343.161,344.85638427734375,4306.723,4382.449157714844
relu,2258.639,2162.540771484375,0.736,1.0949974060058594,2259.375,2163.635768890381
others,1955.542,2100.6976318359375,630.867,439.0714569091797,2586.4089999999997,2539.769088745117
batchnorm,949.324,1009.1080017089844,339.607,337.58184814453125,1288.931,1346.6898498535156
relu,565.013,630.7847900390625,0.671,1.3449974060058594,565.6840000000001,632.1297874450684
conv2d,992.139,1224.6424560546875,63.295,67.70021057128906,1055.434,1292.3426666259766
batchnorm,1932.182,1895.2129313151042,310.937,338.24261474609375,2243.119,2233.455546061198
relu,1131.016,1147.2775065104167,0.64,1.1354026794433594,1131.6560000000002,1148.41290918986
conv2d,4297.026,4029.34033203125,3.009,2.963865280151367,4300.035,4032.3041973114014
cat,998.027,977.4953155517578,55.647,71.15792655944824,1053.674,1048.653242111206
batchnorm,1443.169,1495.1814270019531,311.609,336.48990631103516,1754.778,1831.6713333129883
relu,848.813,922.31591796875,0.736,1.245941162109375,849.549,923.5618591308594
conv2d,1387.394,1579.29345703125,58.431,65.15859413146973,1445.825,1644.4520511627197
batchnorm,1935.51,1916.7488708496094,311.93,323.2349548339844,2247.44,2239.9838256835938
relu,1131.687,1062.408950805664,0.768,1.1138629764318466,1132.455,1063.522813782096
conv2d,4280.42,3823.6873779296875,3.008,2.886188507080078,4283.428,3826.5735664367676
cat,1293.22,1312.2789916992188,55.071,72.95936393737793,1348.291,1385.2383556365967
batchnorm,1926.935,1970.7533874511719,314.073,333.8114471435547,2241.008,2304.5648345947266
relu,1115.464,1151.4135437011719,0.799,1.111083984375,1116.263,1152.5246276855469
conv2d,1608.062,1598.9208679199219,63.262,65.85260963439941,1671.3239999999998,1664.7734775543213
batchnorm,1911.447,1918.3034362792969,305.37,319.8685531616211,2216.817,2238.171989440918
relu,1116.519,1157.076416015625,0.832,1.1553478240966797,1117.351,1158.2317638397217
conv2d,4331.811,3734.1919555664062,3.232,20.26859188079834,4335.043,3754.4605474472046
cat,1612.477,1584.5538024902344,61.119,70.36825942993164,1673.596,1654.922061920166
batchnorm,2380.653,2605.5973510742188,308.857,339.80223083496094,2689.5099999999998,2945.3995819091797
relu,1392.93,1427.50830078125,1.024,1.074003204703331,1393.954,1428.5823039859533
conv2d,2317.454,2201.3841857910156,85.086,68.09515571594238,2402.54,2269.479341506958
batchnorm,1909.175,2012.9010925292969,329.081,322.5019226074219,2238.256,2335.4030151367188
relu,1105.8,1146.2784118652344,0.896,1.0638885349035263,1106.696,1147.342300400138
conv2d,4362.978,3793.7554931640625,4.224,2.6702651977539062,4367.202,3796.4257583618164
cat,1934.39,1984.2064208984375,60.191,64.83071804046631,1994.5810000000001,2049.037138938904
batchnorm,2829.891,3105.0269775390625,309.977,337.2863082885742,3139.868,3442.3132858276367
relu,1659.516,1814.9264221191406,1.056,1.178903579711914,1660.5720000000001,1816.1053256988525
conv2d,2670.951,2572.1470336914062,63.454,69.30744934082031,2734.405,2641.4544830322266
batchnorm,1894.488,1995.1645202636719,450.038,328.0513458251953,2344.526,2323.215866088867
relu,1103.048,1083.8933715820312,0.896,1.0389537513256073,1103.944,1084.9323253333569
conv2d,4379.553,3787.1566772460938,3.872,2.7211380004882812,4383.425,3789.877815246582
cat,2243.312,2118.8907775878906,61.598,65.93977451324463,2304.91,2184.8305521011353
batchnorm,3288.73,3422.2996826171875,309.177,327.5289306640625,3597.907,3749.82861328125
relu,1933.302,2158.1641845703125,1.024,1.2524967193603516,1934.3259999999998,2159.416681289673
conv2d,3253.626,3260.619873046875,68.319,67.42245769500732,3321.945,3328.0423307418823
batchnorm,1916.534,1945.2286376953125,312.154,327.6851806640625,2228.688,2272.913818359375
relu,1104.456,1141.4220886230469,0.992,1.0606632083654404,1105.4479999999999,1142.4827518314123
conv2d,4357.313,3644.7246704101562,3.809,20.824746131896973,4361.122,3665.549416542053
cat,2571.272,2618.65234375,89.214,61.40806770324707,2660.486,2680.060411453247
batchnorm,3775.023,4224.370544433594,312.185,312.07254791259766,4087.208,4536.443092346191
relu,2212.369,2543.7630004882812,0.864,1.3773975372314453,2213.233,2545.1403980255127
conv2d,3457.749,4176.141418457031,1.952,18.53426742553711,3459.701,4194.675685882568
others,870.477,1404.2109985351562,329.913,404.0931396484375,1200.3899999999999,1808.3041381835938
batchnorm,459.254,529.4809799194336,325.689,337.5979766845703,784.943,867.0789566040039
relu,277.69,255.5072250366211,0.864,0.9249648600816727,278.554,256.43218989670277
conv2d,476.118,517.8542633056641,58.111,64.57434844970703,534.229,582.4286117553711
batchnorm,461.205,460.5333557128906,303.642,329.1484680175781,764.847,789.6818237304688
relu,278.01,293.9494094848633,0.928,0.862031877040863,278.938,294.81144136190414
conv2d,1065.675,1080.2568817138672,3.646,2.7839279174804688,1069.321,1083.0408096313477
cat,389.207,389.26248931884766,56.799,67.56625938415527,446.006,456.82874870300293
batchnorm,562.867,588.1260986328125,303.515,324.31734466552734,866.382,912.4434432983398
