op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,954.581,967.1316528320312,85.439,72.46237182617188,1040.02,1039.5940246582031
batchnorm,1971.434,1854.4677734375,1450.352,1431.4346923828125,3421.786,3285.9024658203125
silu,1104.372,1105.6875,0.928,0.9322776198387146,1105.3000000000002,1106.6197776198387
conv2d,2565.859,2352.6815185546875,66.815,67.32509994506836,2632.674,2420.006618499756
batchnorm,2006.922,1848.9965209960938,1447.055,1442.4601440429688,3453.977,3291.4566650390625
silu,1104.5,1079.9303588867188,0.96,0.8445853590965271,1105.46,1080.7749442458153
adaptive_avg_pool2d,508.443,435.09283447265625,1.024,1.1040153503417969,509.467,436.19684982299805
conv2d,12.064,19.316965738932293,5.759,3.530768076578776,17.823,22.84773381551107
silu,3.296,1.3135577390591304,0.928,0.7932268182436625,4.224,2.106784557302793
conv2d,8.64,10.08257508277893,2.016,1.8837661743164062,10.656,11.966341257095337
sigmoid,3.584,0.9118523299694061,1.024,0.9112911075353622,4.6080000000000005,1.8231434375047684
floordiv,1098.9,1184.6402893066406,0.928,1.6612186431884766,1099.8280000000002,1186.301507949829
conv2d,834.999,813.0001831054688,71.743,72.08587646484375,906.742,885.0860595703125
batchnorm,1056.052,988.2373352050781,365.5,370.04357147216797,1421.552,1358.280906677246
conv2d,1226.162,991.3448181152344,66.112,68.46798610687256,1292.2740000000001,1059.812804222107
batchnorm,1038.036,981.1578063964844,910.486,943.5481719970703,1948.522,1924.7059783935547
silu,554.873,607.146240234375,0.8,0.9078502207994461,555.673,608.0540904551744
adaptive_avg_pool2d,263.421,255.03398895263672,0.992,0.8435420393943787,264.413,255.8775309920311
conv2d,9.921,14.12858772277832,5.343,3.748929977416992,15.264,17.877517700195312
silu,2.848,1.7192558646202087,0.736,0.8284072428941727,3.5839999999999996,2.5476631075143814
conv2d,7.968,10.070329785346985,1.728,3.0495071411132812,9.696,13.119836926460266
sigmoid,2.784,3.7460120394825935,0.864,1.1002273261547089,3.6479999999999997,4.846239365637302
floordiv,549.53,597.4069671630859,0.8,0.9195727705955505,550.3299999999999,598.3265399336815
conv2d,573.69,583.0778503417969,66.431,69.58717918395996,640.1210000000001,652.6650295257568
batchnorm,1034.644,942.5303344726562,360.508,371.5394821166992,1395.152,1314.0698165893555
bernoulli,563.45,586.2466735839844,2.432,1.5260028839111328,565.8820000000001,587.7726764678955
iadd,809.559,832.8565216064453,0.8,1.3157501220703125,810.3589999999999,834.1722717285156
conv2d,2863.008,2991.7789916992188,62.655,66.75202369689941,2925.663,3058.531015396118
batchnorm,5947.678,6288.7215576171875,3621.943,3908.3519897460938,9569.621,10197.073547363281
silu,3343.675,3622.86181640625,0.8,1.0160751193761826,3344.4750000000004,3623.877891525626
conv2d,2113.224,1932.4551086425781,64.576,63.89120388031006,2177.8,1996.3463125228882
batchnorm,1421.809,1346.8550415039062,1179.089,1194.9193725585938,2600.898,2541.7744140625
silu,835.351,859.9102478027344,0.768,0.9011382609605789,836.119,860.811386063695
adaptive_avg_pool2d,391.164,389.3094253540039,0.768,0.9946727603673935,391.93199999999996,390.3040981143713
conv2d,16.511,15.955408096313477,5.024,3.5702133178710938,21.535,19.52562141418457
silu,2.72,1.9847816936671734,0.928,0.8428439497947693,3.648,2.8276256434619427
conv2d,8.095,10.462297677993774,1.954,2.2574405670166016,10.049000000000001,12.719738245010376
sigmoid,3.295,3.4836143255233765,0.736,0.8247584849596024,4.031,4.308372810482979
floordiv,829.431,938.8168487548828,0.704,1.3957538604736328,830.135,940.2126026153564
conv2d,521.434,592.1545867919922,74.079,70.24119186401367,595.5129999999999,662.3957786560059
batchnorm,357.787,417.51924896240234,514.523,365.6731185913086,872.31,783.1923675537109
conv2d,1232.82,1223.4192504882812,60.35,68.95901298522949,1293.1699999999998,1292.3782634735107
batchnorm,2140.2,2149.7021484375,1583.471,1638.9641418457031,3723.671,3788.666290283203
silu,1251.026,1300.7137145996094,0.768,0.9988517463207245,1251.794,1301.71256634593
conv2d,2546.691,2301.2041931152344,63.359,64.21557426452637,2610.0499999999997,2365.4197673797607
batchnorm,2141.034,2047.5942077636719,1585.261,1607.3324584960938,3726.295,3654.9266662597656
silu,1253.714,1252.1834716796875,0.864,0.8541678786277771,1254.578,1253.0376395583153
adaptive_avg_pool2d,579.929,552.6711883544922,0.768,1.0416392982006073,580.697,553.7128276526928
conv2d,19.424,16.55973243713379,4.992,3.819211959838867,24.416,20.378944396972656
silu,2.72,1.8516792505979538,0.8,0.7907428294420242,3.5200000000000005,2.642422080039978
