op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,951.189,967.1316528320312,80.128,72.46237182617188,1031.317,1039.5940246582031
batchnorm,1980.905,1854.4677734375,1474.768,1431.4346923828125,3455.673,3285.9024658203125
silu,1103.123,1105.6875,0.992,0.9322776198387146,1104.115,1106.6197776198387
conv2d,2524.644,2352.6815185546875,63.2,67.32509994506836,2587.8439999999996,2420.006618499756
batchnorm,1975.914,1848.9965209960938,1470.063,1442.4601440429688,3445.977,3291.4566650390625
silu,1107.091,1079.9303588867188,0.832,0.8445853590965271,1107.923,1080.7749442458153
adaptive_avg_pool2d,507.867,435.09283447265625,0.864,1.1040153503417969,508.731,436.19684982299805
conv2d,12.128,19.316965738932293,5.663,3.530768076578776,17.791,22.84773381551107
silu,2.913,1.3135577390591304,0.992,0.7932268182436625,3.905,2.106784557302793
conv2d,8.544,10.08257508277893,1.632,1.8837661743164062,10.176,11.966341257095337
sigmoid,3.583,0.9118523299694061,0.801,0.9112911075353622,4.384,1.8231434375047684
floordiv,1100.691,1184.6402893066406,0.896,1.6612186431884766,1101.587,1186.301507949829
conv2d,832.983,813.0001831054688,69.215,72.08587646484375,902.198,885.0860595703125
batchnorm,1045.012,988.2373352050781,390.62,370.04357147216797,1435.632,1358.280906677246
conv2d,1262.45,991.3448181152344,69.375,68.46798610687256,1331.825,1059.812804222107
batchnorm,1042.132,981.1578063964844,931.574,943.5481719970703,1973.7060000000001,1924.7059783935547
silu,547.386,607.146240234375,0.992,0.9078502207994461,548.3779999999999,608.0540904551744
adaptive_avg_pool2d,264.541,255.03398895263672,0.864,0.8435420393943787,265.405,255.8775309920311
conv2d,10.816,14.12858772277832,5.503,3.748929977416992,16.319000000000003,17.877517700195312
silu,2.944,1.7192558646202087,0.929,0.8284072428941727,3.873,2.5476631075143814
conv2d,8.384,10.070329785346985,1.759,3.0495071411132812,10.143,13.119836926460266
sigmoid,2.976,3.7460120394825935,0.96,1.1002273261547089,3.936,4.846239365637302
floordiv,549.274,597.4069671630859,0.864,0.9195727705955505,550.138,598.3265399336815
conv2d,569.722,583.0778503417969,72.575,69.58717918395996,642.297,652.6650295257568
batchnorm,1039.796,942.5303344726562,387.612,371.5394821166992,1427.4080000000001,1314.0698165893555
bernoulli,563.93,586.2466735839844,2.464,1.5260028839111328,566.394,587.7726764678955
iadd,811.766,832.8565216064453,0.929,1.3157501220703125,812.6949999999999,834.1722717285156
conv2d,2852.799,2991.7789916992188,66.752,66.75202369689941,2919.551,3058.531015396118
batchnorm,5941.917,6288.7215576171875,3642.583,3908.3519897460938,9584.5,10197.073547363281
silu,3326.971,3622.86181640625,0.928,1.0160751193761826,3327.899,3623.877891525626
conv2d,2137.385,1932.4551086425781,61.599,63.89120388031006,2198.9840000000004,1996.3463125228882
batchnorm,1424.72,1346.8550415039062,1201.458,1194.9193725585938,2626.178,2541.7744140625
silu,834.679,859.9102478027344,0.8,0.9011382609605789,835.4789999999999,860.811386063695
adaptive_avg_pool2d,391.643,389.3094253540039,0.832,0.9946727603673935,392.47499999999997,390.3040981143713
conv2d,16.416,15.955408096313477,5.088,3.5702133178710938,21.504,19.52562141418457
silu,2.912,1.9847816936671734,0.8,0.8428439497947693,3.7119999999999997,2.8276256434619427
conv2d,8.224,10.462297677993774,1.696,2.2574405670166016,9.92,12.719738245010376
sigmoid,3.232,3.4836143255233765,0.8,0.8247584849596024,4.032,4.308372810482979
floordiv,829.207,938.8168487548828,0.832,1.3957538604736328,830.039,940.2126026153564
conv2d,522.714,592.1545867919922,71.551,70.24119186401367,594.2650000000001,662.3957786560059
batchnorm,352.284,417.51924896240234,540.922,365.6731185913086,893.206,783.1923675537109
conv2d,1236.69,1223.4192504882812,66.399,68.95901298522949,1303.089,1292.3782634735107
batchnorm,2147.496,2149.7021484375,1605.87,1638.9641418457031,3753.366,3788.666290283203
silu,1255.474,1300.7137145996094,0.865,0.9988517463207245,1256.339,1301.71256634593
conv2d,2559.619,2301.2041931152344,63.231,64.21557426452637,2622.8500000000004,2365.4197673797607
batchnorm,2142.344,2047.5942077636719,1609.102,1607.3324584960938,3751.446,3654.9266662597656
silu,1255.762,1252.1834716796875,0.864,0.8541678786277771,1256.626,1253.0376395583153
adaptive_avg_pool2d,580.538,552.6711883544922,0.735,1.0416392982006073,581.273,553.7128276526928
conv2d,19.648,16.55973243713379,5.184,3.819211959838867,24.832,20.378944396972656
silu,2.784,1.8516792505979538,0.864,0.7907428294420242,3.6479999999999997,2.642422080039978
conv2d,8.32,8.85838532447815,1.856,2.1423091888427734,10.176,11.000694513320923
sigmoid,2.912,2.724489487707615,0.736,0.7138785719871521,3.6479999999999997,3.438368059694767
floordiv,1247.25,1227.1114807128906,0.8,1.3645763397216797,1248.05,1228.4760570526123
conv2d,705.688,777.1517333984375,70.943,70.56745529174805,776.631,847.7191886901855
batchnorm,359.132,361.25887298583984,385.564,378.82147216796875,744.696,740.0803451538086
bernoulli,218.142,233.14755630493164,129.374,96.89862632751465,347.51599999999996,330.0461826324463
iadd,306.525,329.13158416748047,0.896,0.8280696272850037,307.421,329.9596537947655
conv2d,1237.457,1243.3359375,67.008,67.51488876342773,1304.4650000000001,1310.8508262634277
batchnorm,2147.272,2189.9693603515625,1612.334,1645.313720703125,3759.6059999999998,3835.2830810546875
silu,1256.21,1302.9834594726562,1.056,0.9576377272605896,1257.266,1303.9410971999168
conv2d,2522.308,2477.1143798828125,64.607,64.76755142211914,2586.915,2541.8819313049316
batchnorm,2146.504,2066.4547119140625,1610.606,1617.4622802734375,3757.1099999999997,3683.9169921875
silu,1255.122,1254.0017700195312,0.704,0.8421039134263992,1255.826,1254.8438739329576
adaptive_avg_pool2d,580.441,498.50206756591797,0.736,1.0699977725744247,581.177,499.5720653384924
conv2d,19.232,18.777498245239258,4.864,3.672719955444336,24.096,22.450218200683594
silu,2.72,2.3388847783207893,0.928,0.818025529384613,3.648,3.1569103077054024
conv2d,8.128,10.283334970474243,1.824,2.128854751586914,9.952,12.412189722061157
sigmoid,3.008,1.9101433455944061,0.864,0.7163752913475037,3.872,2.62651863694191
floordiv,1247.218,1242.3569030761719,0.896,1.547933578491211,1248.114,1243.904836654663
conv2d,705.783,732.1522064208984,64.832,70.08073806762695,770.615,802.2329444885254
batchnorm,356.86,364.7870407104492,378.684,377.52489471435547,735.5440000000001,742.3119354248047
bernoulli,218.718,217.5518913269043,125.854,117.14448738098145,344.572,334.69637870788574
iadd,307.741,337.46639251708984,0.704,0.8615569472312927,308.445,338.32794946432114
conv2d,1230.545,1231.3568725585938,63.328,67.4623031616211,1293.873,1298.8191757202148
batchnorm,2137.992,2102.3434448242188,1612.91,1616.261474609375,3750.902,3718.6049194335938
silu,1253.778,1142.3553161621094,0.8,0.969446137547493,1254.578,1143.3247622996569
conv2d,1462.416,1421.8612060546875,64.415,62.59615707397461,1526.831,1484.457363128662
batchnorm,510.811,514.5163421630859,696.471,709.8872985839844,1207.282,1224.4036407470703
silu,313.149,337.3720397949219,0.896,0.7883853316307068,314.045,338.1604251265526
adaptive_avg_pool2d,159.838,174.8019676208496,0.736,0.7401999831199646,160.57399999999998,175.54216760396957
conv2d,19.392,16.237329483032227,5.12,3.515043258666992,24.512,19.75237274169922
silu,2.751,4.105371952056885,0.833,27.018794059753418,3.5839999999999996,31.124166011810303
conv2d,8.289,8.481233835220337,108.766,137.36627388000488,117.055,145.84750771522522
sigmoid,3.072,0.5295128258876503,149.758,154.78596115112305,152.83,155.3154739770107
floordiv,308.86,314.5017776489258,0.896,0.7489890456199646,309.75600000000003,315.25076669454575
conv2d,236.957,225.33391571044922,69.216,66.2156810760498,306.173,291.549596786499
batchnorm,140.895,153.93097305297852,554.489,519.394416809082,695.384,673.3253898620605
conv2d,495.162,532.0794830322266,70.56,71.12941932678223,565.722,603.2089023590088
batchnorm,835.895,880.8138885498047,1064.307,886.2428283691406,1900.202,1767.0567169189453
silu,523.035,530.4614410400391,0.864,0.8285312205553055,523.899,531.2899722605944
conv2d,2226.055,2093.656280517578,61.087,63.53523254394531,2287.142,2157.1915130615234
batchnorm,837.014,854.2231597900391,895.607,907.5339202880859,1732.621,1761.757080078125
