op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,949.68,967.1316528320312,86.077,72.46237182617188,1035.757,1039.5940246582031
batchnorm,1985.883,1854.4677734375,1470.532,1431.4346923828125,3456.415,3285.9024658203125
silu,1105.898,1105.6875,0.801,0.9322776198387146,1106.6989999999998,1106.6197776198387
conv2d,2456.401,2355.4041748046875,66.239,67.34685134887695,2522.64,2422.7510261535645
batchnorm,1999.642,1850.042236328125,1469.412,1442.9169921875,3469.054,3292.959228515625
silu,1106.059,1079.6128540039062,0.8,0.8465880751609802,1106.859,1080.4594420790672
adaptive_avg_pool2d,507.063,430.9171651204427,0.8,1.1012280782063801,507.863,432.01839319864905
conv2d,11.807,18.618184407552082,5.441,3.530750274658203,17.248,22.148934682210285
silu,3.679,1.325469767053922,0.929,0.8115043044090271,4.608,2.136974071462949
conv2d,8.511,10.783304452896118,1.92,2.052013397216797,10.431,12.835317850112915
sigmoid,3.488,0.688204251229763,0.928,1.0113830417394638,4.416,1.6995872929692268
floordiv,1100.587,1148.5539855957031,0.928,1.747446060180664,1101.515,1150.3014316558838
conv2d,832.688,840.0726928710938,73.535,70.9527645111084,906.223,911.0254573822021
batchnorm,1047.405,1094.6659851074219,388.824,357.6648635864258,1436.229,1452.3308486938477
conv2d,2858.378,2616.615966796875,66.366,71.96964836120605,2924.744,2688.585615158081
batchnorm,5982.799,6383.446533203125,3645.724,3850.6170043945312,9628.523000000001,10234.063537597656
silu,3341.568,3429.323974609375,0.704,1.193113312125206,3342.2720000000004,3430.5170879215
conv2d,2129.656,2071.0393676757812,66.11,64.66730499267578,2195.766,2135.706672668457
batchnorm,1416.806,1362.6880493164062,1201.129,1213.0387878417969,2617.935,2575.726837158203
silu,832.56,870.2241516113281,0.768,0.9035052806138992,833.328,871.127656891942
adaptive_avg_pool2d,391.129,407.742431640625,0.864,0.9565448462963104,391.993,408.6989764869213
conv2d,16.991,14.461648941040039,5.184,3.690000534057617,22.175,18.151649475097656
silu,3.232,1.3504127711057663,0.896,0.7831115126609802,4.128,2.1335242837667465
conv2d,8.48,8.8182852268219,1.792,2.236753463745117,10.272,11.055038690567017
sigmoid,3.072,3.783609852194786,0.864,0.9343509376049042,3.936,4.71796078979969
floordiv,828.464,941.7518463134766,0.768,1.2217655181884766,829.2320000000001,942.973611831665
conv2d,522.998,608.1364288330078,70.815,71.61798286437988,593.8130000000001,679.7544116973877
batchnorm,360.729,401.36609649658203,380.089,370.8658447265625,740.818,772.2319412231445
conv2d,1235.497,1220.651611328125,72.638,70.67481994628906,1308.135,1291.326431274414
batchnorm,2151.0,2174.8090209960938,1608.353,1615.8282470703125,3759.353,3790.6372680664062
silu,1252.072,1261.3502502441406,0.896,1.0477027744054794,1252.9679999999998,1262.397953018546
conv2d,2563.728,2494.1861572265625,73.982,64.63652801513672,2637.71,2558.822685241699
batchnorm,2154.776,2034.2271728515625,1762.174,1604.8894958496094,3916.95,3639.116668701172
silu,1250.089,1116.8580780029297,0.736,0.8810348063707352,1250.825,1117.7391128093004
adaptive_avg_pool2d,580.245,486.51146697998047,0.832,1.0246410220861435,581.077,487.5361080020666
conv2d,19.775,21.018205642700195,5.152,3.505451202392578,24.927,24.523656845092773
silu,2.816,2.360620930790901,0.768,0.8624438792467117,3.5839999999999996,3.223064810037613
conv2d,8.672,9.725717663764954,1.568,2.064748764038086,10.24,11.79046642780304
sigmoid,3.296,2.7193016707897186,0.8,0.8228530436754227,4.096,3.5421547144651413
floordiv,1245.737,1253.3838500976562,0.735,1.3421993255615234,1246.472,1254.7260494232178
conv2d,707.315,766.7312164306641,71.647,70.13803100585938,778.9620000000001,836.8692474365234
batchnorm,358.362,373.9454040527344,381.463,378.62152099609375,739.825,752.5669250488281
bernoulli,218.589,229.43324661254883,146.141,69.13832569122314,364.73,298.571572303772
iadd,308.57,335.9085388183594,0.864,0.8262538313865662,309.43399999999997,336.73479264974594
conv2d,1235.977,1225.0340576171875,67.774,68.50980186462402,1303.7510000000002,1293.5438594818115
batchnorm,2146.231,2037.3127746582031,1612.29,1620.15771484375,3758.521,3657.470489501953
silu,1258.024,1300.0924682617188,0.832,0.9351424723863602,1258.856,1301.027610734105
conv2d,1443.301,1574.4818115234375,65.887,62.55184268951416,1509.1879999999999,1637.0336542129517
batchnorm,507.317,503.5361099243164,694.9,708.4061584472656,1202.217,1211.942268371582
silu,311.258,338.9060363769531,0.736,0.7720622420310974,311.99399999999997,339.6780986189842
adaptive_avg_pool2d,159.357,162.54372024536133,0.704,0.7222289443016052,160.061,163.26594918966293
conv2d,19.008,14.72831916809082,4.863,4.2115631103515625,23.871,18.939882278442383
silu,2.721,3.9002175331115723,0.767,1.7889690101146698,3.488,5.689186543226242
conv2d,8.065,8.601358652114868,105.981,129.2432861328125,114.04599999999999,137.84464478492737
