op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,4176.529,4622.3212890625,107.903,83.13187408447266,4284.432000000001,4705.453163146973
batchnorm,3907.573,4362.20263671875,362.492,354.8746032714844,4270.065,4717.077239990234
relu,2219.271,2388.11181640625,0.993,0.5030555129051208,2220.264,2388.614871919155
others,1965.802,1876.7692260742188,0.928,1.1816444396972656,1966.73,1877.950870513916
conv2d,569.784,926.8310852050781,74.881,71.45140838623047,644.665,998.2824935913086
batchnorm,947.156,915.3722839355469,343.293,343.73536682128906,1290.449,1259.107650756836
relu,556.73,578.0286458333334,0.992,1.2218818664550781,557.722,579.2505276997884
conv2d,7830.118,8504.539388020834,76.031,70.30452473958333,7906.149,8574.843912760418
batchnorm,2831.486,2853.2067057291665,334.395,328.51186116536456,3165.881,3181.7185668945312
relu,1659.979,1781.8826293945312,1.057,0.8086661845445633,1661.036,1782.6912955790758
others,1580.588,1101.6390838623047,1.152,3.082193374633789,1581.74,1104.7212772369385
conv2d,397.755,749.0058288574219,70.272,66.89274978637695,468.027,815.8985786437988
batchnorm,232.028,212.29825973510742,348.06,369.31028747558594,580.088,581.6085472106934
relu,138.015,131.58396339416504,154.27,120.43570899963379,292.28499999999997,252.01967239379883
conv2d,747.862,552.3624649047852,80.224,69.45623016357422,828.086,621.8186950683594
batchnorm,363.163,355.0569305419922,365.148,339.52027893066406,728.311,694.5772094726562
relu,205.597,216.38389587402344,1.12,0.7323703318834305,206.717,217.11626620590687
conv2d,1742.348,1738.9561157226562,72.574,71.64950561523438,1814.922,1810.6056213378906
batchnorm,462.587,491.49281311035156,363.675,349.9524841308594,826.262,841.4452972412109
relu,276.637,276.1092987060547,1.023,1.1108589172363281,277.66,277.220157623291
conv2d,251.166,201.70504760742188,72.127,64.22890377044678,323.293,265.93395137786865
batchnorm,71.552,53.101744651794434,691.766,521.6181030273438,763.318,574.7198476791382
relu,33.184,27.066896438598633,254.173,202.9270133972168,287.35699999999997,229.99390983581543
conv2d,186.238,172.46104049682617,72.575,83.55372428894043,258.813,256.0147647857666
batchnorm,117.791,119.60281562805176,484.697,484.45728302001953,602.488,604.0600986480713
relu,71.615,97.24036026000977,223.293,192.93741989135742,294.908,290.1777801513672
others,1455.983,188.70779037475586,0.96,2.250885009765625,1456.943,190.95867538452148
conv2d,265.148,237.90491104125977,68.224,68.47164916992188,333.372,306.37656021118164
batchnorm,117.375,132.90828704833984,501.753,462.89002227783203,619.1279999999999,595.7983093261719
relu,70.943,70.68366241455078,78.655,121.07528686523438,149.598,191.75894927978516
cat,621.561,444.44862365722656,0.96,0.9068660140037537,622.5210000000001,445.3554896712303
conv2d,966.995,986.6293487548828,71.872,66.26352500915527,1038.867,1052.892873764038
batchnorm,454.523,448.6952590942383,356.763,338.04364013671875,811.2860000000001,786.738899230957
relu,275.453,270.17932891845703,1.024,0.828401505947113,276.477,271.00773042440414
conv2d,967.668,944.9148101806641,89.023,65.0310230255127,1056.691,1009.9458332061768
batchnorm,459.291,468.16419219970703,637.047,324.3095932006836,1096.338,792.4737854003906
relu,276.189,287.9184265136719,346.396,1.2740955352783203,622.585,289.1925220489502
conv2d,2860.157,3109.9620361328125,88.287,71.73270416259766,2948.444,3181.69474029541
batchnorm,681.624,728.9216918945312,535.833,326.9767532348633,1217.4569999999999,1055.8984451293945
relu,414.939,446.23706817626953,0.927,1.0139712989330292,415.86600000000004,447.25103947520256
conv2d,327.74,347.56988525390625,73.28,63.763312339782715,401.02,411.33319759368896
batchnorm,117.183,120.26235389709473,518.137,447.90345001220703,635.3199999999999,568.1658039093018
relu,70.879,78.2175178527832,190.302,177.89588928222656,261.181,256.11340713500977
conv2d,906.324,663.0654449462891,79.584,72.45400047302246,985.9079999999999,735.5194454193115
batchnorm,362.267,357.21788787841797,371.1,358.7581329345703,733.367,715.9760208129883
relu,207.197,241.7989501953125,1.152,1.116231918334961,208.349,242.91518211364746
others,1873.065,307.62088775634766,1.088,1.4222145080566406,1874.153,309.0431022644043
