op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,614.415,684.470458984375,84.926,74.94358825683594,699.341,759.4140472412109
batchnorm,1044.388,1096.6043701171875,365.688,345.0916442871094,1410.076,1441.6960144042969
relu,557.681,552.4490966796875,0.896,1.1748161315917969,558.577,553.6239128112793
conv2d,1200.801,1153.8133544921875,69.406,67.96119689941406,1270.2069999999999,1221.7745513916016
batchnorm,1042.277,1008.7239074707031,340.439,337.26817321777344,1382.7160000000001,1345.9920806884766
relu,557.266,518.1688690185547,0.96,0.9905395209789276,558.226,519.1594085395336
conv2d,458.899,389.8254089355469,74.367,69.62643686930339,533.266,459.4518458048503
batchnorm,645.295,488.56288655598956,343.799,344.8239440917969,989.0939999999999,833.3868306477864
conv2d,654.831,690.6068115234375,74.462,71.31434122721355,729.293,761.921152750651
batchnorm,1496.025,1539.8200378417969,375.798,348.1234893798828,1871.823,1887.9435272216797
relu,839.627,847.0286102294922,0.704,1.2352313995361328,840.3309999999999,848.2638416290283
conv2d,536.754,492.762451171875,64.926,64.77184677124023,601.6800000000001,557.5342979431152
batchnorm,354.295,348.5366668701172,371.414,344.81028747558594,725.7090000000001,693.3469543457031
relu,212.475,223.50729751586914,0.864,0.9410590529441833,213.339,224.44835656881332
conv2d,181.915,190.9074592590332,67.39,67.43458366394043,249.305,258.34204292297363
batchnorm,251.834,237.02542114257812,437.844,415.73990631103516,689.678,652.7653274536133
conv2d,326.935,452.1898956298828,78.398,69.9622745513916,405.33299999999997,522.1521701812744
batchnorm,722.222,781.4516296386719,374.23,344.0670623779297,1096.452,1125.5186920166016
relu,419.957,409.6802673339844,0.8,1.060626968741417,420.757,410.7408943027258
conv2d,857.738,824.6288909912109,64.222,64.37753772735596,921.96,889.0064287185669
batchnorm,718.445,760.41357421875,371.063,341.11693572998047,1089.508,1101.5305099487305
relu,419.957,401.5838851928711,0.864,1.0014438331127167,420.82099999999997,402.5853290259838
conv2d,291.288,281.65018463134766,69.983,65.06144905090332,361.271,346.711633682251
batchnorm,251.481,250.75689697265625,550.514,362.4407653808594,801.995,613.1976623535156
sub,207.61,213.96731567382812,0.832,11.662528976798058,208.442,225.62984465062618
conv2d,323.032,424.73299407958984,67.614,71.13445854187012,390.64599999999996,495.86745262145996
batchnorm,723.246,762.3313446044922,374.262,351.75829315185547,1097.508,1114.0896377563477
relu,420.341,415.4974060058594,0.704,1.0461845248937607,421.045,416.54359053075314
conv2d,857.609,835.1676940917969,69.375,64.28362560272217,926.984,899.451319694519
batchnorm,727.276,751.1025238037109,373.207,341.8713912963867,1100.483,1092.9739151000977
relu,419.733,401.8202667236328,0.8,1.0082855075597763,420.533,402.8285522311926
conv2d,289.112,282.76661682128906,73.759,65.51127910614014,362.87100000000004,348.2778959274292
batchnorm,251.962,248.3168716430664,374.453,357.8457946777344,626.415,606.1626663208008
sub,206.939,212.2340202331543,0.896,4.521240219473839,207.83499999999998,216.75526045262814
conv2d,323.416,382.62860107421875,70.718,69.18569564819336,394.134,451.8142967224121
batchnorm,725.101,744.9384002685547,385.334,351.3418197631836,1110.435,1096.2802200317383
relu,420.501,476.70729064941406,0.768,1.0861072540283203,421.26899999999995,477.7933979034424
conv2d,505.811,496.4171142578125,67.966,68.22581100463867,573.7769999999999,564.6429252624512
batchnorm,168.284,175.6291275024414,460.276,442.7073211669922,628.56,618.3364486694336
relu,106.845,94.50951385498047,173.723,162.55316925048828,280.568,257.06268310546875
conv2d,95.902,80.8023796081543,141.98,141.63398361206055,237.882,222.43636322021484
batchnorm,86.526,65.84175682067871,739.533,562.8357849121094,826.059,628.6775417327881
conv2d,185.243,175.14404678344727,74.59,71.62421989440918,259.83299999999997,246.76826667785645
batchnorm,258.618,254.9857292175293,378.614,372.60765838623047,637.232,627.5933876037598
relu,159.835,164.60694885253906,45.599,44.08687973022461,205.434,208.69382858276367
conv2d,656.591,661.2544097900391,66.367,67.28911018371582,722.958,728.5435199737549
batchnorm,259.032,245.45291900634766,369.975,377.68768310546875,629.0070000000001,623.1406021118164
relu,158.94,139.5891876220703,115.677,102.7461166381836,274.617,242.3353042602539
conv2d,124.157,117.5165023803711,112.797,113.02114486694336,236.954,230.53764724731445
batchnorm,86.75,100.6557846069336,437.172,408.5897521972656,523.922,509.2455368041992
sub,80.03,98.77114868164062,198.939,184.00371170043945,278.969,282.7748603820801
conv2d,181.563,177.5298728942871,86.846,70.7851390838623,268.409,248.3150119781494
batchnorm,258.969,258.06983184814453,382.774,368.8709945678711,641.7429999999999,626.9408264160156
relu,159.26,165.19612884521484,47.359,31.6784610748291,206.619,196.87458992004395
conv2d,655.439,632.6477966308594,63.23,66.7130241394043,718.669,699.3608207702637
batchnorm,256.345,241.26494979858398,370.167,382.72950744628906,626.512,623.994457244873
relu,158.556,137.59321212768555,121.373,107.22814178466797,279.92900000000003,244.82135391235352
conv2d,121.756,122.70088386535645,117.822,111.50910758972168,239.578,234.20999145507812
batchnorm,87.133,100.96529388427734,433.909,410.9930191040039,521.042,511.95831298828125
sub,80.318,104.2868766784668,344.503,193.47860717773438,424.82099999999997,297.7654838562012
conv2d,318.103,303.76709747314453,78.879,72.4012622833252,396.982,376.1683597564697
batchnorm,509.522,544.022102355957,381.047,368.3625946044922,890.569,912.3846969604492
relu,316.695,341.64019775390625,0.768,0.938754990696907,317.46299999999997,342.57895274460316
conv2d,374.582,421.35958099365234,66.399,63.77870273590088,440.981,485.1382837295532
batchnorm,116.893,131.09109115600586,511.442,499.51600646972656,628.335,630.6070976257324
relu,77.214,77.39163970947266,202.267,186.192626953125,279.481,263.58426666259766
conv2d,80.638,75.4300765991211,158.46,164.45562362670898,239.098,239.88570022583008
batchnorm,21.056,40.80855178833008,641.007,630.1309661865234,662.063,670.9395179748535
conv2d,126.524,118.61081504821777,113.117,105.2166633605957,239.64100000000002,223.82747840881348
batchnorm,199.9,191.70373153686523,444.628,442.34271240234375,644.528,634.046443939209
relu,130.172,131.18095588684082,76.095,65.87307453155518,206.267,197.054030418396
conv2d,550.897,562.3908538818359,67.55,66.39192581176758,618.447,628.7827796936035
batchnorm,196.667,199.92229461669922,422.165,431.64124298095703,618.832,631.5635375976562
relu,130.205,126.19974517822266,144.22,126.57750701904297,274.425,252.77725219726562
conv2d,121.277,89.9417724609375,118.621,126.24689483642578,239.898,216.18866729736328
batchnorm,22.112,32.336459159851074,499.986,470.8646697998047,522.098,503.20112895965576
sub,30.4,26.37121057510376,250.905,246.9843292236328,281.305,273.3555397987366
conv2d,124.157,122.57803726196289,116.637,118.62740516662598,240.79399999999998,241.20544242858887
batchnorm,198.875,199.14624404907227,598.896,439.218017578125,797.771,638.3642616271973
relu,130.173,133.25128173828125,76.445,66.80466938018799,206.618,200.05595111846924
conv2d,548.211,554.1643829345703,68.126,66.2026424407959,616.337,620.3670253753662
batchnorm,198.553,200.82698822021484,452.438,430.8323211669922,650.991,631.659309387207
relu,130.684,126.90426063537598,151.005,126.04116249084473,281.68899999999996,252.9454231262207
conv2d,119.804,90.40797424316406,119.421,126.40375328063965,239.22500000000002,216.8117275238037
batchnorm,22.304,32.54522228240967,507.794,472.8412170410156,530.098,505.3864393234253
sub,29.248,26.694536685943604,251.641,246.79275131225586,280.889,273.48728799819946
conv2d,125.405,122.98777770996094,113.309,120.52944755554199,238.714,243.51722526550293
batchnorm,199.099,191.7590217590332,450.068,451.53527069091797,649.1669999999999,643.2942924499512
relu,130.845,127.96216201782227,83.485,64.78660488128662,214.32999999999998,192.7487668991089
conv2d,258.394,304.09039306640625,64.478,63.51684856414795,322.872,367.6072416305542
batchnorm,196.476,205.7911148071289,431.092,422.41517639160156,627.568,628.2062911987305
relu,133.02,138.45462799072266,141.853,124.15215110778809,274.87300000000005,262.60677909851074
conv2d,110.779,109.38801193237305,123.039,128.2763729095459,233.81799999999998,237.66438484191895
batchnorm,30.783,50.87262725830078,636.367,624.0308685302734,667.15,674.9034957885742
conv2d,166.396,159.86520767211914,78.398,75.03468894958496,244.79399999999998,234.8998966217041
batchnorm,236.858,235.24639511108398,543.921,438.3120803833008,780.779,673.5584754943848
relu,157.277,151.25809478759766,59.294,29.191213607788086,216.57099999999997,180.44930839538574
conv2d,304.952,350.6549758911133,69.694,64.22238063812256,374.646,414.87735652923584
batchnorm,238.522,252.35033798217773,405.237,390.42894744873047,643.759,642.7792854309082
relu,157.724,152.8185272216797,130.621,93.94591903686523,288.345,246.76444625854492
conv2d,130.396,120.4894962310791,110.526,108.46765327453613,240.92199999999997,228.95714950561523
batchnorm,30.911,48.575961112976074,489.491,481.0362243652344,520.402,529.6121854782104
sub,39.295,34.48933744430542,247.706,236.72406768798828,287.001,271.2134051322937
conv2d,162.365,188.03969955444336,74.749,75.3565673828125,237.114,263.39626693725586
batchnorm,241.338,258.575984954834,395.701,404.57032775878906,637.039,663.146312713623
relu,157.788,166.53527450561523,50.686,17.525813087821007,208.47400000000002,184.06108759343624
conv2d,215.323,254.2729606628418,61.95,62.222506523132324,277.273,316.4954671859741
batchnorm,49.631,61.76659297943115,576.145,577.1704254150391,625.776,638.9370183944702
relu,31.167,38.9320182800293,253.562,230.29233169555664,284.72900000000004,269.22434997558594
conv2d,65.599,65.89805316925049,172.09,172.7458724975586,237.68900000000002,238.64392566680908
batchnorm,15.104,24.242937088012695,649.487,635.8969116210938,664.591,660.1398487091064
conv2d,94.877,104.07479476928711,143.645,135.6911964416504,238.522,239.7659912109375
batchnorm,103.806,107.62567138671875,528.402,520.0139617919922,632.2080000000001,627.6396331787109
relu,75.582,63.999284744262695,129.116,125.6922435760498,204.698,189.6915283203125
conv2d,327.896,356.4253921508789,71.454,64.86514186859131,399.35,421.2905340194702
batchnorm,102.333,108.12727355957031,682.575,556.7375183105469,784.908,664.8647918701172
relu,77.149,73.91264724731445,201.5,198.56750106811523,278.649,272.4801483154297
conv2d,123.612,110.43511199951172,115.933,116.55117225646973,239.54500000000002,226.98628425598145
batchnorm,14.88,20.386362075805664,514.194,488.8932571411133,529.074,509.27961921691895
sub,13.856,13.324235916137695,264.665,263.15005111694336,278.521,276.47428703308105
conv2d,94.717,96.34991836547852,142.749,138.64175033569336,237.466,234.99166870117188
