op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,959.282,1168.2537841796875,95.966,75.37491607666016,1055.248,1243.6287002563477
batchnorm,1990.594,1809.3572998046875,399.354,359.4632568359375,2389.948,2168.820556640625
relu,1113.392,1143.11181640625,0.895,1.0376853942871094,1114.287,1144.149501800537
conv2d,598.903,617.8481750488281,63.423,68.6133041381836,662.326,686.4614791870117
batchnorm,475.449,508.6107482910156,512.472,338.2500762939453,987.921,846.8608245849609
conv2d,1202.511,1086.8489379882812,67.007,70.1631965637207,1269.518,1157.012134552002
batchnorm,1991.041,1838.3345947265625,356.155,339.4988606770833,2347.196,2177.833455403646
relu,1114.255,1035.2315063476562,1.44,1.2333691914876301,1115.6950000000002,1036.4648755391438
conv2d,58404.401,891.8489786783854,0.0,69.7239252726237,58404.401,961.572903951009
batchnorm,483.097,469.8389129638672,395.162,346.2095031738281,878.259,816.0484161376953
relu,284.38,268.82496643066406,0.672,0.9908122569322586,285.052,269.8157786875963
conv2d,303.323,297.77954864501953,58.367,65.08825588226318,361.69,362.8678045272827
batchnorm,482.009,394.31526947021484,326.907,334.62134552001953,808.9159999999999,728.9366149902344
sub,414.33,323.4791717529297,0.576,1.0105609595775604,414.906,324.48973271250725
relu,282.395,264.73009872436523,0.672,0.7270907759666443,283.067,265.4571895003319
conv2d,158.014,247.63031387329102,63.359,68.18629837036133,221.37300000000002,315.81661224365234
batchnorm,230.781,257.7411079406738,421.625,400.43406677246094,652.406,658.1751747131348
conv2d,477.113,560.4303359985352,85.535,70.0555191040039,562.648,630.4858551025391
batchnorm,963.41,943.3472137451172,365.242,342.83251953125,1328.652,1286.1797332763672
relu,572.663,558.6175079345703,1.056,1.212118148803711,573.719,559.829626083374
conv2d,30225.786,770.1957092285156,0.0,57.4408655166626,30225.786,827.6365747451782
batchnorm,232.636,202.4993019104004,541.112,387.77086639404297,773.7479999999999,590.2701683044434
relu,142.718,123.57696914672852,135.102,125.55315017700195,277.82,249.13011932373047
conv2d,151.774,167.70440673828125,71.135,77.99575805664062,222.909,245.70016479492188
batchnorm,227.42,168.72762298583984,341.211,355.19586181640625,568.631,523.9234848022461
sub,209.501,155.81146621704102,0.608,7.765537261962891,210.109,163.5770034790039
relu,142.718,118.01763153076172,75.455,142.8378677368164,218.173,260.8554992675781
conv2d,148.766,214.03532791137695,76.127,72.1758918762207,224.89299999999997,286.21121978759766
batchnorm,228.764,212.8956527709961,405.402,375.14319610595703,634.1659999999999,588.0388488769531
relu,143.614,143.00880813598633,137.086,77.23746681213379,280.70000000000005,220.24627494812012
conv2d,15195.708,602.4189453125,0.0,67.65710258483887,15195.708,670.0760478973389
batchnorm,231.326,233.96982955932617,399.961,369.1336364746094,631.287,603.1034660339355
relu,143.198,133.07650756835938,135.07,103.56929397583008,278.26800000000003,236.64580154418945
conv2d,150.973,172.6733856201172,76.287,75.42863082885742,227.26000000000002,248.1020164489746
batchnorm,227.837,184.55653381347656,350.971,349.0221939086914,578.808,533.578727722168
sub,209.756,176.1451644897461,0.673,2.48916432261467,210.429,178.63432881236076
relu,140.669,136.02796745300293,61.312,90.31322479248047,201.981,226.3411922454834
conv2d,153.117,193.66916275024414,73.055,72.7016544342041,226.172,266.37081718444824
batchnorm,138.27,139.27597999572754,497.112,485.86727142333984,635.3820000000001,625.1432514190674
conv2d,532.122,344.64979553222656,73.245,70.75701904296875,605.367,415.4068145751953
batchnorm,578.935,550.2371673583984,356.443,357.72777557373047,935.3779999999999,907.9649429321289
relu,355.451,337.39488983154297,1.312,0.9815749824047089,356.76300000000003,338.3764648139477
conv2d,670.04,613.3578033447266,0.0,67.36832618713379,670.04,680.7261295318604
batchnorm,133.886,134.5917510986328,508.088,483.29905700683594,641.974,617.8908081054688
relu,88.415,79.88533782958984,187.293,179.63966751098633,275.708,259.5250053405762
conv2d,217.341,185.69507598876953,65.471,71.87341499328613,282.812,257.56849098205566
batchnorm,136.478,120.977783203125,370.203,389.10042572021484,506.681,510.07820892333984
sub,131.23,111.25108909606934,92.382,145.89986038208008,223.612,257.1509494781494
relu,89.791,88.68186569213867,186.493,185.54806900024414,276.284,274.2299346923828
