op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,952.927,1195.7899169921875,171.359,75.88411712646484,1124.286,1271.6740341186523
batchnorm,1988.125,1869.3896484375,436.192,356.99176025390625,2424.317,2226.3814086914062
relu,1109.15,1150.765625,0.928,1.1458702087402344,1110.0780000000002,1151.9114952087402
conv2d,598.783,770.7623901367188,76.384,68.84684753417969,675.167,839.6092376708984
batchnorm,956.062,1039.9402465820312,339.2,358.7706756591797,1295.262,1398.710922241211
conv2d,1989.597,2074.8490600585938,71.008,71.5308609008789,2060.605,2146.3799209594727
batchnorm,3932.538,4020.5454915364585,380.448,347.4208068847656,4312.986,4367.966298421225
relu,2218.717,2362.1473795572915,1.536,1.2308921813964844,2220.253,2363.378271738688
conv2d,117425.329,1628.2300618489583,0.0,72.88754526774089,117425.329,1701.1176071166992
batchnorm,957.279,971.6623229980469,443.103,328.6066207885742,1400.382,1300.268943786621
relu,567.455,580.9918212890625,0.608,1.0116061866283417,568.063,582.0034274756908
conv2d,587.423,683.4268798828125,86.816,63.884206771850586,674.239,747.3110866546631
batchnorm,959.455,800.0159301757812,425.055,322.5741882324219,1384.51,1122.5901184082031
sub,826.623,666.4312133789062,0.639,0.9537505656480789,827.2620000000001,667.3849639445543
relu,566.688,551.1603622436523,0.736,0.8442439436912537,567.424,552.0046061873436
conv2d,310.847,518.8957214355469,65.92,67.43973350524902,376.767,586.3354549407959
batchnorm,457.439,529.7208099365234,367.904,344.21253967285156,825.3430000000001,873.933349609375
conv2d,1018.686,1277.7497863769531,72.128,69.82955360412598,1090.814,1347.579339981079
batchnorm,1940.157,1845.2776794433594,368.256,342.36840057373047,2308.413,2187.64608001709
relu,1137.502,1128.5499877929688,1.12,1.2814502716064453,1138.6219999999998,1129.8314380645752
conv2d,60620.618,1928.1236572265625,0.0,68.09237861633301,60620.618,1996.2160358428955
batchnorm,453.536,460.35459899902344,387.647,341.1037063598633,841.183,801.4583053588867
relu,283.071,268.3278274536133,0.673,0.9432029277086258,283.744,269.2710303813219
conv2d,388.671,434.9557876586914,61.824,61.77654552459717,450.495,496.7323331832886
batchnorm,457.696,397.8667755126953,353.118,320.89190673828125,810.8140000000001,718.7586822509766
sub,414.976,298.49647521972656,0.672,1.0974235236644745,415.648,299.59389874339104
relu,284.096,239.60283279418945,0.607,0.7857150435447693,284.70300000000003,240.38854783773422
conv2d,384.223,511.3045196533203,68.129,64.5420503616333,452.35200000000003,575.8465700149536
batchnorm,456.511,450.0628662109375,378.272,341.00536346435547,834.783,791.068229675293
relu,285.983,274.26660919189453,2.816,1.0205478370189667,288.799,275.2871570289135
conv2d,30982.51,1523.0274353027344,0.0,67.67686653137207,30982.51,1590.7043018341064
batchnorm,457.823,481.510498046875,348.544,336.9808349609375,806.367,818.4913330078125
relu,284.352,270.53929138183594,0.576,0.928651750087738,284.928,271.4679431319237
conv2d,388.958,488.4449920654297,66.209,63.05134963989258,455.16700000000003,551.4963417053223
batchnorm,460.224,407.5127487182617,362.431,328.0962142944336,822.655,735.6089630126953
sub,414.847,303.0349884033203,0.64,1.1015052497386932,415.48699999999997,304.136493653059
relu,283.456,237.95162963867188,0.64,0.8146819472312927,284.096,238.76631158590317
