op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,944.918,1190.062744140625,251.358,75.9849853515625,1196.276,1266.0477294921875
batchnorm,2015.309,1887.4759521484375,578.555,356.7699890136719,2593.864,2244.2459411621094
relu,1102.293,1155.3746337890625,0.864,1.1574134826660156,1103.157,1156.5320472717285
conv2d,709.626,795.0737915039062,80.159,69.29830169677734,789.785,864.3720932006836
batchnorm,1093.206,1135.662353515625,390.556,359.6856689453125,1483.762,1495.3480224609375
conv2d,3100.93,2355.656494140625,72.095,72.3144416809082,3173.0249999999996,2427.970935821533
batchnorm,4468.727,4630.83251953125,379.868,344.12757364908856,4848.595,4974.960093180339
relu,2490.184,2719.6317545572915,1.312,1.2842623392740886,2491.496,2720.9160168965655
conv2d,132542.647,2289.135009765625,0.0,74.19684346516927,132542.647,2363.3318532307944
batchnorm,1095.254,1110.3417663574219,778.137,328.7088317871094,1873.3909999999998,1439.0505981445312
relu,637.977,690.8604431152344,0.737,1.0824565887451172,638.7139999999999,691.9428997039795
conv2d,1249.396,800.1962432861328,66.111,63.6600980758667,1315.507,863.8563413619995
batchnorm,1096.597,931.046630859375,378.557,326.5833282470703,1475.154,1257.6299591064453
sub,934.583,756.6605682373047,0.768,0.9868850409984589,935.351,757.6474532783031
relu,635.322,614.9636535644531,0.736,0.9245471656322479,636.058,615.8882007300854
conv2d,1245.044,894.2903747558594,67.232,69.56292533874512,1312.276,963.8533000946045
batchnorm,1095.67,1095.9447937011719,381.852,347.49855041503906,1477.522,1443.443344116211
relu,638.362,683.4784851074219,0.992,1.1391868442296982,639.3539999999999,684.6176719516516
conv2d,54758.042,2195.7816162109375,0.0,75.677001953125,54758.042,2271.4586181640625
batchnorm,1097.27,1083.8630981445312,392.604,334.11570739746094,1489.874,1417.9788055419922
relu,634.906,677.1600799560547,0.8,0.9770908057689667,635.7059999999999,678.1371707618237
conv2d,1246.132,771.1327514648438,69.44,65.48182678222656,1315.5720000000001,836.6145782470703
batchnorm,1095.67,939.8598937988281,374.876,334.6469192504883,1470.546,1274.5068130493164
sub,927.063,731.8423919677734,0.672,1.046108216047287,927.735,732.8885001838207
relu,634.842,648.6640625,0.608,1.0116939097642899,635.4499999999999,649.6757564097643
conv2d,665.466,729.9232025146484,67.551,67.50747299194336,733.017,797.4306755065918
batchnorm,606.074,690.5409545898438,350.877,343.05123138427734,956.951,1033.592185974121
conv2d,1688.56,1614.4255065917969,66.623,67.17248344421387,1755.183,1681.5979900360107
batchnorm,2569.672,2343.1879272460938,531.803,337.4361038208008,3101.475,2680.6240310668945
relu,1496.434,1447.6384582519531,1.12,1.2080116122961044,1497.5539999999999,1448.8464698642492
conv2d,78931.473,2009.8646240234375,0.0,67.00281143188477,78931.473,2076.8674354553223
batchnorm,611.545,595.5033264160156,382.045,330.3241653442383,993.5899999999999,925.8274917602539
relu,370.877,368.01258087158203,0.768,0.9174079298973083,371.645,368.92998880147934
conv2d,741.433,730.6290893554688,84.031,63.45069217681885,825.4639999999999,794.0797815322876
batchnorm,609.85,544.4743194580078,381.02,323.57303619384766,990.87,868.0473556518555
sub,544.475,392.0024719238281,0.609,1.0804729163646698,545.0840000000001,393.0829448401928
relu,370.14,341.93277740478516,0.64,0.8467501997947693,370.78,342.7795276045799
conv2d,743.513,883.7967224121094,62.495,65.05016326904297,806.008,948.8468856811523
batchnorm,608.283,603.3992004394531,388.22,324.04793548583984,996.503,927.447135925293
relu,374.012,364.8405532836914,1.088,1.141500473022461,375.1,365.98205375671387
conv2d,33473.54,2497.4453125,0.0,69.7684440612793,33473.54,2567.2137565612793
batchnorm,622.17,627.5776062011719,386.396,328.8284454345703,1008.566,956.4060516357422
relu,369.757,362.20330810546875,0.704,0.928531602025032,370.461,363.1318397074938
conv2d,743.801,777.1212768554688,64.895,64.09786224365234,808.696,841.2191390991211
batchnorm,615.994,576.0259857177734,364.477,317.41454315185547,980.471,893.4405288696289
sub,543.291,373.49076080322266,0.704,0.9789752513170242,543.995,374.4697360545397
relu,371.004,340.7743377685547,0.64,0.8620070815086365,371.644,341.6363448500633
conv2d,741.401,872.5173950195312,67.263,64.98037910461426,808.664,937.4977741241455
batchnorm,615.803,586.3301849365234,531.93,333.05516815185547,1147.733,919.3853530883789
relu,373.629,373.58058166503906,0.864,1.1401710361242294,374.493,374.7207527011633
conv2d,33479.204,2271.703857421875,0.0,54.63164234161377,33479.204,2326.3354997634888
batchnorm,613.754,628.3636627197266,355.356,332.1854476928711,969.11,960.5491104125977
relu,368.125,368.28856658935547,0.64,0.9759120494127274,368.765,369.2644786387682
conv2d,744.985,734.9248046875,63.231,63.90354919433594,808.216,798.8283538818359
batchnorm,610.842,542.6017456054688,368.093,316.9731674194336,978.935,859.5749130249023
sub,545.467,383.52306365966797,0.64,1.0206908881664276,546.107,384.5437545478344
relu,370.972,342.3082580566406,0.64,0.837760865688324,371.61199999999997,343.14601892232895
conv2d,741.337,882.1612854003906,59.168,64.98498725891113,800.505,947.1462726593018
batchnorm,605.051,585.021484375,347.772,327.0578155517578,952.8230000000001,912.0792999267578
relu,372.636,372.757568359375,1.12,1.076648697257042,373.75600000000003,373.83421705663204
conv2d,33508.325,2501.4990234375,0.0,69.19361114501953,33508.325,2570.6926345825195
batchnorm,612.25,610.2055511474609,373.309,329.313720703125,985.559,939.5192718505859
relu,370.94,369.58448028564453,0.641,0.9425296187400818,371.581,370.5270099043846
conv2d,743.0,755.3610687255859,68.191,64.00467300415039,811.191,819.3657417297363
batchnorm,611.739,551.6557922363281,380.38,325.10679626464844,992.119,876.7625885009766
sub,541.979,403.4351272583008,0.704,1.1006622016429901,542.683,404.53578945994377
relu,369.821,373.84088134765625,0.639,0.8366031050682068,370.46000000000004,374.67748445272446
conv2d,770.073,695.2808532714844,72.064,66.86612892150879,842.137,762.1469821929932
batchnorm,332.797,425.4849090576172,355.164,349.64695739746094,687.961,775.1318664550781
conv2d,1720.496,1573.0319519042969,65.983,66.8686580657959,1786.479,1639.9006099700928
batchnorm,1430.482,1348.1999206542969,357.629,340.5988235473633,1788.1109999999999,1688.7987442016602
relu,902.392,862.2262115478516,1.472,1.1789874881505966,903.864,863.4051990360022
conv2d,1718.288,2687.7373657226562,0.0,67.72899627685547,1718.288,2755.4663619995117
batchnorm,337.021,330.58226013183594,367.229,336.22535705566406,704.25,666.8076171875
relu,223.774,234.6815071105957,0.672,1.1177806705236435,224.446,235.79928778111935
conv2d,967.702,1035.3865661621094,73.312,65.81913566589355,1041.014,1101.205701828003
batchnorm,334.013,337.1776580810547,392.444,323.10321044921875,726.457,660.2808685302734
sub,329.405,234.8987579345703,0.64,1.3782462924718857,330.04499999999996,236.2770042270422
relu,223.646,213.0567855834961,0.736,2.0949020087718964,224.38199999999998,215.151687592268
conv2d,965.975,1049.9093322753906,59.871,66.54310989379883,1025.846,1116.4524421691895
batchnorm,334.045,359.87391662597656,363.132,323.50521087646484,697.177,683.3791275024414
relu,224.382,199.98027420043945,0.608,12.679587338119745,224.99,212.6598615385592
conv2d,1619.31,2195.8922729492188,0.0,66.50317192077637,1619.31,2262.395444869995
batchnorm,338.013,321.4997100830078,393.052,327.56432342529297,731.065,649.0640335083008
relu,224.861,238.48830795288086,0.704,1.020322784781456,225.565,239.50863073766232
conv2d,964.534,1074.5716400146484,68.193,64.86002540588379,1032.727,1139.4316654205322
batchnorm,331.549,348.47869873046875,511.643,318.08612060546875,843.192,666.5648193359375
sub,331.581,224.40423965454102,0.704,0.9611777812242508,332.285,225.36541743576527
relu,223.742,211.68555068969727,0.671,12.976011261343956,224.41299999999998,224.66156195104122
conv2d,972.92,975.6576995849609,63.359,67.35901641845703,1036.279,1043.016716003418
batchnorm,332.989,349.9253845214844,361.084,332.79029846191406,694.073,682.7156829833984
relu,224.702,204.1930694580078,15.456,4.0436210334300995,240.158,208.2366904914379
