op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,950.933,1191.437744140625,248.669,75.88326263427734,1199.602,1267.3210067749023
batchnorm,1994.474,1916.269287109375,567.866,353.3121643066406,2562.34,2269.5814514160156
relu,1104.243,1183.7889404296875,0.992,1.2318840026855469,1105.235,1185.020824432373
conv2d,791.351,925.2406921386719,73.343,69.31365203857422,864.694,994.5543441772461
batchnorm,1447.248,1437.775146484375,393.436,345.79478454589844,1840.684,1783.5699310302734
conv2d,3540.216,3181.6187744140625,71.167,71.15756225585938,3611.383,3252.776336669922
batchnorm,6022.012,6216.087565104167,378.364,328.6641031901042,6400.375999999999,6544.751668294271
relu,3309.531,3601.1848958333335,1.088,1.6969159444173176,3310.619,3602.881811777751
conv2d,176562.202,4474.684651692708,0.0,69.03204854329427,176562.202,4543.716700236002
batchnorm,1450.192,1422.5590209960938,1209.778,331.3021011352539,2659.9700000000003,1753.8611221313477
relu,847.223,904.5755767822266,0.672,1.2118244171142578,847.895,905.7874011993408
conv2d,1630.989,1070.6329956054688,77.151,63.03046703338623,1708.14,1133.663462638855
batchnorm,1438.672,1362.0367736816406,409.596,334.25785064697266,1848.268,1696.2946243286133
sub,1234.674,989.3762512207031,0.736,0.9989738166332245,1235.41,990.3752250373363
relu,845.654,822.9604034423828,0.64,1.0032749027013779,846.294,823.9636783450842
conv2d,1632.91,1259.834716796875,63.359,67.45937156677246,1696.269,1327.2940883636475
batchnorm,1447.024,1422.8823852539062,365.18,339.8090133666992,1812.204,1762.6913986206055
relu,847.382,874.6465911865234,0.736,1.1982478946447372,848.1179999999999,875.8448390811682
conv2d,5351.107,3757.3295288085938,0.0,72.40576362609863,5351.107,3829.7352924346924
batchnorm,1441.584,1444.7843017578125,379.804,337.12432861328125,1821.388,1781.9086303710938
relu,848.118,890.2321624755859,0.736,1.1039905399084091,848.854,891.3361530154943
conv2d,1637.07,1107.2473907470703,69.983,65.16520309448242,1707.0529999999999,1172.4125938415527
batchnorm,1444.879,1397.8685913085938,369.341,337.26918029785156,1814.2199999999998,1735.1377716064453
