op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,738.068,767.9583129882812,78.719,75.43047332763672,816.787,843.388786315918
batchnorm,1508.615,1466.8526611328125,347.963,357.67193603515625,1856.578,1824.5245971679688
relu,845.746,951.475341796875,0.769,1.1792716979980469,846.515,952.654613494873
others,736.436,682.5299682617188,0.768,1.4340171813964844,737.2040000000001,683.9639854431152
conv2d,138.462,175.83558654785156,66.078,63.29411315917969,204.54,239.12969970703125
batchnorm,83.199,75.79083251953125,558.327,517.7453918457031,641.526,593.5362243652344
conv2d,61.919,75.94974136352539,167.774,168.32421875,229.69299999999998,244.2739601135254
batchnorm,86.91,77.64836883544922,690.613,534.0781046549479,777.523,611.7264734903971
relu,53.663,51.56839116414388,224.284,226.32402547200522,277.947,277.8924166361491
conv2d,227.069,229.1393585205078,67.55,74.6722640991211,294.61899999999997,303.8116226196289
batchnorm,359.13,355.07884216308594,360.155,345.63800048828125,719.285,700.7168426513672
relu,213.116,221.85254287719727,0.768,0.7753486037254333,213.88400000000001,222.6278914809227
conv2d,139.23,150.98797988891602,62.591,65.77557754516602,201.821,216.76355743408203
batchnorm,82.943,69.07174396514893,560.823,528.3308410644531,643.766,597.402585029602
conv2d,63.616,74.47979354858398,165.532,158.86928176879883,229.14800000000002,233.3490753173828
batchnorm,86.431,88.9051399230957,524.407,511.48553466796875,610.8380000000001,600.3906745910645
relu,53.248,43.44796371459961,95.39,97.08220291137695,148.638,140.53016662597656
cat,115.742,126.2164421081543,157.789,144.79328155517578,273.531,271.0097236633301
clone,108.543,106.43013381958008,321.114,302.5780487060547,429.657,409.00818252563477
conv2d,117.471,103.72630310058594,225.372,212.75942993164062,342.843,316.48573303222656
batchnorm,88.287,88.57626724243164,532.183,499.6847915649414,620.47,588.261058807373
relu,53.535,55.45529556274414,145.118,143.6944808959961,198.653,199.14977645874023
conv2d,99.966,148.53378677368164,87.487,66.08943748474121,187.45299999999997,214.62322425842285
batchnorm,87.423,76.21389770507812,552.279,520.3382720947266,639.702,596.5521697998047
conv2d,63.166,71.55522155761719,162.366,155.75727081298828,225.532,227.31249237060547
batchnorm,87.039,89.59786224365234,688.404,508.7138137817383,775.443,598.3116760253906
relu,54.143,45.389583587646484,91.519,104.74247360229492,145.662,150.1320571899414
cat,118.878,125.87687873840332,151.869,141.99202728271484,270.747,267.86890602111816
clone,108.447,115.90197372436523,318.011,307.7839813232422,426.458,423.6859550476074
conv2d,118.014,105.19860458374023,223.58,217.5291404724121,341.594,322.72774505615234
batchnorm,87.038,93.57086181640625,527.833,487.94447326660156,614.871,581.5153350830078
relu,54.494,60.10805416107178,143.518,139.80745124816895,198.012,199.91550540924072
conv2d,100.895,150.06729698181152,87.582,66.28463363647461,188.47699999999998,216.35193061828613
batchnorm,86.43,68.630784034729,550.008,523.4585113525391,636.4380000000001,592.0892953872681
conv2d,63.327,70.36766910552979,168.029,152.99286651611328,231.356,223.36053562164307
batchnorm,87.231,91.28628158569336,531.735,504.6048355102539,618.966,595.8911170959473
relu,54.463,41.55531644821167,92.159,96.1301155090332,146.622,137.68543195724487
cat,117.694,126.34810829162598,156.798,140.51162719726562,274.492,266.8597354888916
clone,108.478,105.85266494750977,321.53,303.2939987182617,430.008,409.1466636657715
conv2d,117.664,96.80941009521484,225.371,201.48756408691406,343.035,298.2969741821289
batchnorm,87.263,88.7685432434082,531.031,496.48184967041016,618.294,585.2503929138184
relu,54.079,55.80612087249756,144.158,139.8498191833496,198.237,195.65594005584717
conv2d,101.086,138.89055824279785,239.356,66.71332550048828,340.442,205.60388374328613
batchnorm,87.615,68.75054264068604,550.167,529.7853698730469,637.782,598.5359125137329
conv2d,62.335,75.51510238647461,173.405,154.7757339477539,235.74,230.29083633422852
batchnorm,87.871,90.24122619628906,528.023,509.60597229003906,615.894,599.8471984863281
relu,54.015,47.33927536010742,89.375,94.77521133422852,143.39,142.11448669433594
cat,118.302,138.3809051513672,154.046,135.98919677734375,272.348,274.37010192871094
clone,108.862,103.0623664855957,205.917,217.04698181152344,314.779,320.10934829711914
conv2d,74.75,115.04070091247559,116.702,88.96329879760742,191.452,204.003999710083
batchnorm,32.383,40.81379318237305,596.087,566.4784545898438,628.47,607.2922477722168
conv2d,35.392,60.442931175231934,197.948,171.31698608398438,233.34,231.7599172592163
batchnorm,29.055,36.01585006713867,584.759,560.2027893066406,613.814,596.2186393737793
relu,12.928,16.414674758911133,262.268,228.8791389465332,275.19599999999997,245.29381370544434
conv2d,119.422,114.89288520812988,107.262,92.42680931091309,226.684,207.31969451904297
batchnorm,173.439,180.39787673950195,456.407,409.3197708129883,629.846,589.7176475524902
relu,107.231,122.22922134399414,92.062,78.57320404052734,199.293,200.80242538452148
conv2d,76.223,114.12544250488281,118.142,75.04481887817383,194.365,189.17026138305664
batchnorm,33.055,32.365328788757324,598.711,569.1337127685547,631.766,601.499041557312
conv2d,35.808,51.397193908691406,190.46,173.89825820922852,226.268,225.29545211791992
batchnorm,28.223,33.898380279541016,742.261,569.0821380615234,770.4839999999999,602.9805183410645
relu,12.991,11.057733535766602,132.702,128.7236213684082,145.69299999999998,139.7813549041748
cat,58.655,61.038371086120605,219.805,199.49027633666992,278.46000000000004,260.5286474227905
