op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,4331.513,2802.650146484375,2.56,5.309421539306641,4334.073,2807.9595680236816
relu,2196.715,2283.316162109375,0.864,1.6503868103027344,2197.579,2284.9665489196777
others,2016.046,2268.34521484375,0.736,1.7853965759277344,2016.7820000000002,2270.1306114196777
conv2d,519.515,681.5509033203125,2.56,2.506175994873047,522.0749999999999,684.0570793151855
relu,134.622,196.00985717773438,0.833,0.5757102370262146,135.455,196.5855674147606
conv2d,1054.838,1062.0001831054688,2.56,5.0917816162109375,1057.398,1067.0919647216797
relu,539.547,545.2216186523438,0.8,1.1813824971516926,540.347,546.4030011494955
conv2d,2865.159,2576.7943522135415,4.415,5.267047882080078,2869.574,2582.0614000956216
relu,539.195,556.5928751627604,0.8,0.9398129185040792,539.995,557.5326880812645
cat,1308.404,1051.4568176269531,0.928,1.2660751342773438,1309.332,1052.7228927612305
conv2d,773.848,729.3246459960938,2.881,1.7668495178222656,776.7289999999999,731.091495513916
relu,134.27,201.622802734375,0.929,0.9014777690172195,135.199,202.52428050339222
conv2d,1057.783,1143.6329650878906,2.751,4.567682266235352,1060.5339999999999,1148.200647354126
relu,537.787,550.1596221923828,0.896,1.1448745727539062,538.683,551.3044967651367
conv2d,2873.765,2587.0418701171875,5.057,4.753379821777344,2878.8219999999997,2591.795249938965
relu,540.186,590.1812591552734,0.832,0.964534729719162,541.018,591.1457938849926
cat,1329.972,1299.3795166015625,0.864,1.3603172302246094,1330.836,1300.739833831787
others,1005.463,1195.7186279296875,0.928,1.6518745422363281,1006.391,1197.3705024719238
conv2d,270.75,364.13976287841797,2.816,1.5685100555419922,273.566,365.70827293395996
relu,65.503,120.70880317687988,0.928,1.0002345591783524,66.431,121.70903773605824
conv2d,547.803,553.552864074707,2.848,11.675004005432129,550.651,565.2278680801392
relu,262.91,274.8957290649414,0.864,1.1057071387767792,263.774,276.0014362037182
conv2d,1375.667,1269.9415588378906,4.512,3.6739635467529297,1380.1789999999999,1273.6155223846436
relu,261.469,273.2035903930664,0.736,1.0276489108800888,262.205,274.2312393039465
cat,598.587,565.0660705566406,0.704,1.1749095916748047,599.2909999999999,566.2409801483154
conv2d,392.348,455.61846923828125,2.656,1.579519271850586,395.004,457.19798851013184
relu,65.312,117.86083602905273,0.8,0.7731398940086365,66.112,118.63397592306137
conv2d,551.099,557.2003631591797,2.656,2.672994613647461,553.755,559.8733577728271
relu,262.941,277.3609924316406,0.768,0.9186877608299255,263.70899999999995,278.27968019247055
conv2d,1371.316,1229.2926177978516,4.031,3.7592201232910156,1375.347,1233.0518379211426
relu,262.27,283.2630386352539,0.832,0.9880256354808807,263.102,284.2510642707348
cat,597.243,656.0465850830078,0.896,1.1779117584228516,598.139,657.2244968414307
others,528.379,635.2361297607422,0.832,1.656576156616211,529.211,636.8927059173584
conv2d,127.295,116.54517936706543,2.815,1.1821098178625107,130.11,117.72728918492794
relu,7.296,22.393831729888916,0.704,1.0260085761547089,8.0,23.419840306043625
conv2d,215.071,182.40782928466797,2.752,3.867246627807617,217.823,186.2750759124756
relu,91.903,95.11714553833008,0.8,1.0192164927721024,92.703,96.13636203110218
conv2d,522.459,464.3385925292969,4.192,2.1742000579833984,526.651,466.5127925872803
relu,92.639,110.99887084960938,0.768,0.8927153944969177,93.407,111.89158624410629
cat,204.414,255.52002716064453,0.864,0.8653525710105896,205.278,256.3853797316551
conv2d,172.478,160.4577522277832,2.752,0.9413222819566727,175.23000000000002,161.39907450973988
relu,7.328,31.769824028015137,0.8,0.8182467818260193,8.128,32.588070809841156
conv2d,213.598,172.52360153198242,2.752,3.6739730834960938,216.35000000000002,176.19757461547852
relu,92.064,100.35790252685547,0.896,0.9672069251537323,92.96,101.3251094520092
conv2d,524.698,469.5022506713867,4.417,2.363584518432617,529.115,471.86583518981934
relu,92.127,107.97972106933594,0.736,0.9144744277000427,92.863,108.89419549703598
cat,204.542,255.48644638061523,0.8,0.9107589274644852,205.342,256.3972053080797
conv2d,184.319,243.4291114807129,2.88,2.9735145419836044,187.19899999999998,246.4026260226965
relu,15.871,33.52463102340698,0.768,1.0905818492174149,16.639,34.6152128726244
conv2d,294.173,213.8290252685547,2.465,2.6996097564697266,296.638,216.5286350250244
relu,123.646,128.40969848632812,0.832,0.7884177565574646,124.478,129.1981162428856
conv2d,700.154,755.8778839111328,4.128,2.346210479736328,704.282,758.2240943908691
relu,122.687,141.829833984375,0.736,0.949129045009613,123.423,142.7789630293846
cat,272.221,281.6811408996582,0.704,0.8811454474925995,272.925,282.5622863471508
conv2d,228.062,343.4118881225586,2.816,1.2702140659093857,230.87800000000001,344.682102188468
relu,15.52,44.33043622970581,0.832,1.022436112165451,16.352,45.35287234187126
conv2d,294.621,212.89437103271484,2.56,11.090766906738281,297.181,223.98513793945312
relu,122.975,127.84344100952148,0.672,1.3046741038560867,123.64699999999999,129.14811511337757
conv2d,698.521,773.5376739501953,4.48,2.927560806274414,703.001,776.4652347564697
relu,123.232,154.97170639038086,0.864,0.9087314009666443,124.096,155.8804377913475
cat,273.565,362.8518524169922,0.832,0.9831752330064774,274.397,363.83502764999866
iadd,305.533,382.6842956542969,0.768,1.0700340270996094,306.301,383.7543296813965
conv2d,1222.741,1612.3136596679688,2.72,17.291781425476074,1225.461,1629.6054410934448
relu,173.982,199.4022674560547,0.673,0.8364676833152771,174.655,200.23873513936996
adaptive_avg_pool2d,102.815,81.6218729019165,0.895,0.4583262801170349,103.71,82.08019918203354
cross_entrpy,20.992,18.20085334777832,427.932,393.150390625,448.92400000000004,411.3512439727783
cross_entrpy,11.808,21.19156837463379,231.678,224.9252471923828,243.486,246.1168155670166
adaptive_avg_pool2d,85.695,85.9199447631836,0.832,3.497831329703331,86.52699999999999,89.41777609288692
relu,259.102,170.01959228515625,0.832,8.972986206412315,259.93399999999997,178.99257849156857
conv2d,2884.293,3514.822998046875,22.752,24.810903549194336,2907.045,3539.6339015960693
iadd,270.046,282.6837463378906,0.864,0.9707221537828445,270.90999999999997,283.65446849167347
relu,182.27,200.91149139404297,0.896,1.6029624789953232,183.166,202.5144538730383
conv2d,1268.883,1454.3846130371094,19.489,14.594318389892578,1288.372,1468.978931427002
relu,175.039,189.15427017211914,0.704,0.8676223158836365,175.743,190.02189248800278
conv2d,391.739,347.4323272705078,54.049,46.12883949279785,445.78799999999995,393.56116676330566
relu,47.583,50.88572311401367,0.704,1.5827770233154297,48.287,52.4685001373291
conv2d,951.67,1037.7296447753906,16.513,14.289167404174805,968.183,1052.0188121795654
relu,173.471,167.22715377807617,0.8,0.7429751753807068,174.27100000000002,167.97012895345688
conv2d,1274.517,1441.5722045898438,19.519,16.756778717041016,1294.036,1458.3289833068848
relu,174.718,197.11753845214844,0.832,0.767631471157074,175.54999999999998,197.8851699233055
conv2d,388.508,362.27718353271484,55.424,50.504517555236816,443.93199999999996,412.78170108795166
relu,46.368,47.26488494873047,0.8,1.4249896854162216,47.168,48.68987463414669
conv2d,751.129,789.6571960449219,15.584,13.566474914550781,766.713,803.2236709594727
relu,129.31,125.57687377929688,0.897,0.6940860152244568,130.207,126.27095979452133
conv2d,1026.358,946.4555206298828,17.984,14.317663192749023,1044.3419999999999,960.7731838226318
relu,129.599,142.46193313598633,0.768,0.7484778761863708,130.367,143.2104110121727
conv2d,302.654,255.53955078125,43.871,38.214881896972656,346.525,293.75443267822266
relu,31.327,35.97957134246826,0.672,1.5492572635412216,31.999000000000002,37.52882860600948
conv2d,753.53,719.7960510253906,18.815,12.991378784179688,772.345,732.7874298095703
relu,128.927,127.24673080444336,0.736,0.7029780745506287,129.66299999999998,127.94970887899399
conv2d,1013.111,962.4224548339844,17.984,14.815011978149414,1031.095,977.2374668121338
relu,129.662,139.5605010986328,0.864,0.7616996169090271,130.526,140.32220071554184
conv2d,299.55,284.47890853881836,42.815,37.384395599365234,342.365,321.8633041381836
relu,30.784,24.903520584106445,0.704,0.958097442984581,31.488,25.861618027091026
conv2d,514.939,429.1228256225586,18.976,14.957639694213867,533.915,444.08046531677246
others,1592.528,1611.7716979980469,1.506,2.117542266845703,1594.034,1613.8892402648926
relu,383.836,365.0298843383789,0.864,1.0672111213207245,384.7,366.09709545969963
conv2d,2729.767,2498.6923217773438,15.968,15.516895294189453,2745.7349999999997,2514.209217071533
relu,375.356,352.4229507446289,0.832,0.8451995253562927,376.188,353.2681502699852
conv2d,790.585,675.5371856689453,104.799,129.61695671081543,895.384,805.1541423797607
relu,97.535,96.00442123413086,0.768,1.6743793338537216,98.303,97.67880056798458
conv2d,1606.257,1734.0692138671875,16.032,13.955974578857422,1622.289,1748.025188446045
relu,374.397,374.0982360839844,0.768,1.1027660071849823,375.16499999999996,375.20100209116936
conv2d,2725.704,2669.177978515625,15.967,16.61707878112793,2741.6710000000003,2685.795057296753
relu,375.292,370.5795669555664,0.832,0.8381595015525818,376.12399999999997,371.417726457119
conv2d,792.089,681.5904846191406,104.383,128.9783229827881,896.4720000000001,810.5688076019287
relu,98.239,92.47991180419922,0.8,0.9881973117589951,99.039,93.46810911595821
conv2d,816.058,736.302734375,15.742,15.342586517333984,831.8,751.645320892334
others,3176.355,2646.981201171875,1.664,2.8051929473876953,3178.0190000000002,2649.7863941192627
relu,791.673,780.0669097900391,0.832,1.3803997039794922,792.505,781.4473094940186
conv2d,5359.599,4474.520263671875,17.696,17.787635803222656,5377.295,4492.307899475098
relu,782.265,796.2787933349609,0.832,0.9488963484764099,783.097,797.2276896834373
conv2d,1654.449,1374.5509643554688,208.318,254.91405868530273,1862.767,1629.4650230407715
relu,201.086,219.00296783447266,0.704,0.9871311038732529,201.79000000000002,219.9900989383459
conv2d,2808.966,2812.0582885742188,18.208,14.769294738769531,2827.174,2826.8275833129883
relu,782.233,791.9715728759766,0.896,1.3378982543945312,783.1289999999999,793.3094711303711
conv2d,5352.398,4671.176025390625,17.761,19.880128860473633,5370.159000000001,4691.056154251099
relu,782.296,790.0626220703125,0.704,0.787522574265798,783.0,790.8501446445783
conv2d,1649.777,1293.133056640625,207.134,187.3291269938151,1856.911,1480.4621836344402
relu,202.783,177.97235107421875,0.831,0.9952201644579569,203.61399999999998,178.9675712386767
conv2d,1303.796,1140.3662719726562,17.696,17.634193420410156,1321.492,1158.0004653930664
others,6698.307,6371.850830078125,1.664,2.7859039306640625,6699.971,6374.636734008789
relu,3197.571,3004.2440185546875,4.8,1.3930702209472656,3202.371,3005.6370887756348
conv2d,3974.3,2695.626220703125,12.191,8.577892303466797,3986.491,2704.204113006592
