op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,738.742,776.04345703125,83.264,74.69058990478516,822.006,850.7340469360352
batchnorm,1488.366,1517.408447265625,350.428,350.0859375,1838.7939999999999,1867.494384765625
relu,837.717,937.78662109375,0.8,1.2633476257324219,838.5169999999999,939.0499687194824
others,737.527,815.2370300292969,0.704,1.3917427062988281,738.231,816.6287727355957
conv2d,141.887,170.24209594726562,62.879,60.976266860961914,204.766,231.21836280822754
batchnorm,84.447,95.38821411132812,553.177,535.9762878417969,637.624,631.364501953125
conv2d,108.351,136.13689931233725,122.654,113.04726918538411,231.005,249.18416849772137
batchnorm,210.365,191.8644561767578,556.922,451.9505310058594,767.287,643.8149871826172
relu,128.062,111.58057403564453,170.27,158.56086222330728,298.332,270.1414362589518
conv2d,416.06,517.3699035644531,78.462,74.69390106201172,494.522,592.0638046264648
batchnorm,862.454,889.1933898925781,356.86,357.54488372802734,1219.3139999999999,1246.7382736206055
relu,506.938,549.4351806640625,0.736,0.8250789046287537,507.674,550.2602595686913
conv2d,327.964,275.78528594970703,61.631,63.03063678741455,389.595,338.8159227371216
batchnorm,201.533,219.79026412963867,426.523,412.1659240722656,628.056,631.9561882019043
conv2d,139.871,187.51173782348633,88.414,73.20087623596191,228.28500000000003,260.71261405944824
batchnorm,208.606,218.63936614990234,408.763,386.12574768066406,617.3689999999999,604.7651138305664
relu,128.447,143.16002655029297,20.223,8.829021453857422,148.67000000000002,151.9890480041504
cat,278.429,316.11800384521484,1.376,0.5484275259077549,279.80499999999995,316.6664313711226
clone,256.477,232.55413055419922,173.598,150.03534698486328,430.075,382.5894775390625
conv2d,272.284,265.7537536621094,69.536,86.00111770629883,341.82,351.7548713684082
batchnorm,207.422,235.12156295776367,402.97,371.34244537353516,610.392,606.4640083312988
relu,126.975,142.70053100585938,68.159,60.26435565948486,195.13400000000001,202.96488666534424
conv2d,261.853,266.02761459350586,57.727,64.56129837036133,319.58,330.5889129638672
batchnorm,207.901,233.29002380371094,413.211,390.69629669189453,621.1120000000001,623.9863204956055
conv2d,139.998,174.6041259765625,85.536,72.70928573608398,225.534,247.31341171264648
batchnorm,207.805,218.4364013671875,572.026,379.4901428222656,779.8309999999999,597.9265441894531
relu,128.798,141.2680206298828,17.056,20.143160820007324,145.854,161.41118144989014
cat,289.82,317.5876998901367,0.768,1.5123195350170135,290.58799999999997,319.10001942515373
clone,255.837,243.822998046875,147.198,140.84889221191406,403.03499999999997,384.67189025878906
conv2d,270.781,262.6115379333496,70.527,93.84135246276855,341.308,356.45289039611816
batchnorm,205.437,229.45673370361328,398.844,368.12281799316406,604.281,597.5795516967773
