op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,674.166,763.0982666015625,77.311,73.95672607421875,751.4770000000001,837.0549926757812
batchnorm,1511.146,1512.7314453125,339.291,348.3916931152344,1850.437,1861.1231384277344
relu,833.172,941.6886596679688,0.928,1.2704658508300781,834.1,942.9591255187988
others,750.741,757.1153259277344,0.961,1.2733573913574219,751.702,758.3886833190918
conv2d,148.669,168.17743682861328,62.111,57.92704391479492,210.78,226.1044807434082
batchnorm,86.11,107.12368774414062,519.738,529.8200988769531,605.8480000000001,636.9437866210938
conv2d,198.398,212.51239013671875,70.398,76.66807047526042,268.796,289.1804606119792
batchnorm,335.067,323.6249186197917,331.707,364.4905090332031,666.774,688.1154276529949
relu,189.374,162.4390614827474,0.928,73.3696797688802,190.302,235.80874125162762
conv2d,748.531,725.1195220947266,63.041,71.93480491638184,811.5719999999999,797.0543270111084
batchnorm,1358.828,1355.1690673828125,342.619,362.79795837402344,1701.4470000000001,1717.967025756836
relu,763.509,861.5521392822266,0.896,0.8100928664207458,764.405,862.3622321486473
conv2d,515.257,418.8021545410156,61.951,61.0607385635376,577.208,479.8628931045532
batchnorm,325.915,326.75218200683594,328.187,355.28126525878906,654.1020000000001,682.033447265625
conv2d,405.051,340.29722595214844,59.199,67.53871154785156,464.25,407.8359375
batchnorm,334.299,324.20216369628906,387.066,351.35655975341797,721.365,675.558723449707
relu,189.502,188.0733528137207,0.864,1.0644817352294922,190.366,189.1378345489502
cat,429.818,468.58679962158203,0.895,0.8374843150377274,430.71299999999997,469.42428393661976
clone,387.227,347.0890884399414,0.832,4.488868672400713,388.05899999999997,351.5779571123421
conv2d,596.311,468.8372268676758,66.911,66.74460029602051,663.222,535.5818271636963
batchnorm,332.636,328.03492736816406,334.875,342.64439392089844,667.511,670.6793212890625
relu,191.037,203.09479141235352,0.736,0.7923735976219177,191.773,203.88716500997543
conv2d,400.41,393.5447769165039,56.287,60.828999519348145,456.697,454.37377643585205
batchnorm,332.412,326.2062301635742,326.587,355.5184631347656,658.999,681.7246932983398
conv2d,398.618,332.6993637084961,59.295,66.74176216125488,457.913,399.441125869751
batchnorm,329.595,328.85791778564453,338.652,347.2665252685547,668.2470000000001,676.1244430541992
relu,190.333,180.66366577148438,0.896,1.2920398712158203,191.22899999999998,181.9557056427002
cat,451.737,480.9752731323242,0.768,0.8011779189109802,452.505,481.7764510512352
clone,388.57,381.8478317260742,0.769,2.333200428634882,389.339,384.1810321547091
conv2d,596.311,459.5592498779297,61.951,66.54455184936523,658.2620000000001,526.1038017272949
batchnorm,332.764,322.59535217285156,333.082,343.12396240234375,665.846,665.7193145751953
relu,190.27,197.74401473999023,0.864,0.7390422224998474,191.13400000000001,198.48305696249008
conv2d,398.33,384.02442932128906,65.055,60.45782947540283,463.385,444.4822587966919
batchnorm,327.708,331.0374069213867,467.193,353.5775146484375,794.9010000000001,684.6149215698242
conv2d,398.298,326.9719924926758,64.095,66.63458633422852,462.39300000000003,393.6065788269043
batchnorm,331.099,327.40956115722656,330.779,346.8822784423828,661.8779999999999,674.2918395996094
relu,191.838,180.74240112304688,0.799,0.8547591865062714,192.637,181.59716030955315
cat,449.818,450.24251556396484,0.864,0.7610453963279724,450.68199999999996,451.0035609602928
clone,388.378,353.65018463134766,0.864,0.16658014617860317,389.24199999999996,353.81676477752626
conv2d,596.569,442.1737060546875,62.686,66.42117118835449,659.255,508.594877243042
batchnorm,335.163,324.69507598876953,341.627,343.1201477050781,676.79,667.8152236938477
relu,191.069,196.4725112915039,0.864,0.6182917952537537,191.933,197.09080308675766
conv2d,401.691,382.1587905883789,58.943,61.01638412475586,460.63399999999996,443.17517471313477
batchnorm,326.619,339.77787017822266,330.555,353.14622497558594,657.174,692.9240951538086
conv2d,400.058,332.2126922607422,68.096,65.65573692321777,468.154,397.86842918395996
batchnorm,335.226,321.99916076660156,336.38,343.2533950805664,671.606,665.252555847168
relu,191.677,191.36711502075195,0.768,0.9360446333885193,192.445,192.30315965414047
cat,448.41,434.14461517333984,0.927,0.9279155284166336,449.33700000000005,435.0725307017565
clone,387.803,297.2448959350586,0.736,1.6554794311523438,388.539,298.90037536621094
conv2d,256.989,264.9533157348633,61.439,57.99388885498047,318.428,322.94720458984375
batchnorm,143.261,142.51959419250488,591.864,468.71570587158203,735.125,611.2353000640869
conv2d,233.789,228.80401229858398,71.102,72.0868091583252,304.89099999999996,300.8908214569092
batchnorm,152.063,156.24257278442383,412.409,436.97755432128906,564.472,593.2201271057129
relu,94.527,88.28501510620117,165.694,149.1602668762207,260.221,237.44528198242188
conv2d,846.803,926.2573852539062,68.319,69.86617851257324,915.122,996.1235637664795
batchnorm,619.832,708.5684967041016,328.571,337.91405487060547,948.403,1046.482551574707
relu,383.002,430.6596374511719,0.8,0.9450015723705292,383.802,431.6046390235424
conv2d,257.628,271.39145278930664,59.423,61.82727813720703,317.051,333.2187309265137
batchnorm,145.758,173.70427703857422,442.586,456.0111083984375,588.344,629.7153854370117
conv2d,223.613,219.87577438354492,68.031,72.73466110229492,291.644,292.61043548583984
batchnorm,149.886,149.26712036132812,422.458,456.0913619995117,572.344,605.3584823608398
relu,94.27,103.79687881469727,40.448,47.80670642852783,134.718,151.6035852432251
cat,211.325,230.64527130126953,35.423,11.29000473022461,246.748,241.93527603149414
clone,196.157,177.7084083557129,197.309,228.04389190673828,393.466,405.7523002624512
conv2d,322.779,316.6607131958008,72.576,71.51994895935059,395.355,388.18066215515137
batchnorm,148.798,174.14220809936523,438.201,428.5523223876953,586.999,602.6945304870605
relu,93.439,100.2284049987793,92.127,96.97378349304199,185.56599999999997,197.2021884918213
conv2d,205.949,200.945556640625,57.119,61.13242053985596,263.068,262.07797718048096
batchnorm,149.886,162.38702392578125,578.583,458.50938415527344,728.4689999999999,620.8964080810547
conv2d,224.189,232.3497314453125,70.847,72.50740814208984,295.036,304.85713958740234
batchnorm,149.022,154.96147918701172,423.386,451.5532531738281,572.408,606.5147323608398
relu,94.846,100.37836456298828,37.216,57.82156276702881,132.062,158.1999273300171
cat,217.437,228.12094497680664,29.855,12.943807601928711,247.292,241.06475257873535
clone,196.03,182.5262680053711,200.317,226.9514045715332,396.347,409.4776725769043
conv2d,319.995,309.7294387817383,76.191,70.37276458740234,396.18600000000004,380.1022033691406
batchnorm,151.102,166.75442123413086,423.225,439.1733169555664,574.327,605.9277381896973
relu,93.887,101.58485794067383,103.295,100.73301315307617,197.18200000000002,202.31787109375
