op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,690.874,750.287841796875,79.679,73.47330474853516,770.553,823.7611465454102
batchnorm,1485.299,1511.8648681640625,326.173,347.0513610839844,1811.472,1858.9162292480469
relu,835.704,950.0355834960938,0.929,1.2402458190917969,836.6329999999999,951.2758293151855
others,741.625,656.11474609375,0.8,1.1625480353832245,742.425,657.2772941291332
conv2d,143.935,177.87725830078125,62.271,56.7711124420166,206.20600000000002,234.64837074279785
batchnorm,85.439,120.61120986938477,524.795,528.8863830566406,610.2339999999999,649.4975929260254
conv2d,266.366,309.3916422526042,70.047,74.29216766357422,336.413,383.6838099161784
batchnorm,435.837,458.6512145996094,341.276,344.5275472005208,777.113,803.1787618001301
relu,265.534,251.00726826985678,0.992,1.0687599182128906,266.526,252.07602818806967
conv2d,1031.895,880.5104064941406,65.855,67.06551933288574,1097.75,947.5759258270264
batchnorm,1847.152,1735.9863586425781,340.765,353.57275390625,2187.917,2089.559112548828
relu,1060.694,1092.2107238769531,0.768,0.9080962538719177,1061.462,1093.118820130825
conv2d,694.266,559.1145553588867,65.087,61.770877838134766,759.353,620.8854331970215
batchnorm,427.325,437.6034927368164,333.916,339.151123046875,761.241,776.7546157836914
conv2d,674.715,608.2945709228516,64.959,66.89297866821289,739.674,675.1875495910645
batchnorm,435.58,460.61609649658203,341.501,341.2981643676758,777.0809999999999,801.9142608642578
relu,265.31,258.7129364013672,0.8,0.9544028788805008,266.11,259.6673392802477
cat,600.922,650.5442199707031,0.896,1.0607547461986542,601.818,651.6049747169018
clone,534.619,475.84539794921875,0.896,1.0852756351232529,535.515,476.930673584342
conv2d,937.144,795.7564392089844,71.135,65.2362060546875,1008.279,860.9926452636719
batchnorm,433.373,487.2150573730469,341.98,339.10408782958984,775.3530000000001,826.3191452026367
relu,264.894,284.64813232421875,0.8,0.9081706553697586,265.694,285.5563029795885
conv2d,572.539,541.7994995117188,58.239,61.483604431152344,630.778,603.2831039428711
batchnorm,438.717,456.88024139404297,334.588,347.23912811279297,773.3050000000001,804.1193695068359
conv2d,674.65,644.5092468261719,67.68,66.60622596740723,742.3299999999999,711.1154727935791
batchnorm,432.924,470.99303436279297,338.749,339.0966567993164,771.673,810.0896911621094
relu,267.101,250.96221160888672,0.801,0.8668555617332458,267.902,251.82906717061996
cat,627.546,667.4462280273438,0.8,0.975376084446907,628.346,668.4216041117907
clone,536.955,515.9354858398438,0.864,0.7845573276281357,537.8190000000001,516.7200431674719
conv2d,936.406,748.9615173339844,61.089,65.67377853393555,997.4949999999999,814.6352958679199
batchnorm,440.124,468.5788345336914,343.997,341.51586151123047,784.1210000000001,810.0946960449219
relu,266.174,273.9396743774414,0.832,0.9594440162181854,267.006,274.8991183936596
conv2d,541.435,532.1112365722656,62.399,59.05521202087402,603.834,591.1664485931396
batchnorm,431.389,451.15159606933594,333.916,342.24249267578125,765.3050000000001,793.3940887451172
conv2d,668.218,619.4857177734375,66.944,66.58082389831543,735.1619999999999,686.0665416717529
batchnorm,439.1,475.34645080566406,339.229,339.1671600341797,778.329,814.5136108398438
relu,267.454,258.8773994445801,0.895,0.8660849928855896,268.349,259.74348443746567
cat,633.563,635.1770629882812,0.896,0.9615268111228943,634.459,636.1385897994041
clone,536.347,499.81227111816406,0.736,1.0570506900548935,537.083,500.86932180821896
conv2d,933.623,771.3186187744141,61.76,65.9759292602539,995.383,837.294548034668
batchnorm,440.604,480.1324005126953,344.733,341.3599624633789,785.337,821.4923629760742
relu,267.262,278.00879669189453,0.895,0.8795794993638992,268.157,278.88837619125843
conv2d,543.708,515.5754852294922,56.543,61.23149108886719,600.251,576.8069763183594
batchnorm,433.66,460.36940002441406,496.636,342.0977020263672,930.296,802.4671020507812
conv2d,668.474,621.2506408691406,66.975,65.4455509185791,735.4490000000001,686.6961917877197
batchnorm,435.196,443.5073547363281,339.966,336.9760437011719,775.162,780.4833984375
relu,266.525,250.17606735229492,0.704,0.9559306651353836,267.229,251.1319980174303
cat,630.106,629.7861175537109,0.736,1.055944412946701,630.842,630.8420619666576
clone,536.284,400.51113510131836,0.767,1.402151107788086,537.051,401.91328620910645
conv2d,349.725,362.48885345458984,59.072,59.84992504119873,408.797,422.3387784957886
batchnorm,201.822,204.63278579711914,415.549,414.1521987915039,617.371,618.784984588623
conv2d,396.668,424.4228744506836,68.479,67.1041431427002,465.147,491.5270175933838
batchnorm,206.398,227.91856384277344,379.677,344.23458099365234,586.075,572.1531448364258
relu,131.391,130.85349082946777,125.695,93.77898406982422,257.086,224.632474899292
conv2d,1494.355,1420.2157897949219,71.071,69.16500473022461,1565.426,1489.3807945251465
batchnorm,872.376,881.1309509277344,335.965,334.7495574951172,1208.341,1215.8805084228516
relu,530.043,588.2431793212891,0.832,0.9387473613023758,530.875,589.1819266825914
conv2d,351.261,391.33209228515625,62.399,62.776854515075684,413.66,454.10894680023193
batchnorm,201.599,246.28095626831055,394.908,393.64222717285156,596.5070000000001,639.9231834411621
conv2d,384.572,393.5910949707031,75.04,68.89940452575684,459.612,462.49049949645996
batchnorm,206.334,214.8392448425293,526.523,378.06591033935547,732.857,592.9051551818848
relu,131.871,132.92083930969238,6.4,18.129570960998535,138.27100000000002,151.05041027069092
cat,295.134,331.4059753417969,0.704,1.4399852603673935,295.838,332.84596060216427
clone,270.173,236.90707397460938,94.495,124.31674766540527,364.668,361.22382164001465
conv2d,517.755,574.3546142578125,64.128,68.95683479309082,581.883,643.3114490509033
batchnorm,207.806,220.74398803710938,377.693,380.24566650390625,585.499,600.9896545410156
relu,132.062,137.29245376586914,55.168,57.695335388183594,187.23000000000002,194.98778915405273
conv2d,279.774,287.5383834838867,55.743,61.762574195861816,335.517,349.30095767974854
batchnorm,207.806,229.0012435913086,390.365,389.7079086303711,598.171,618.7091522216797
conv2d,384.444,418.35150146484375,70.271,68.05563545227051,454.71500000000003,486.40713691711426
batchnorm,209.631,219.3178253173828,383.292,372.21668243408203,592.923,591.5345077514648
relu,132.575,129.84328842163086,9.024,26.458969116210938,141.599,156.3022575378418
cat,303.773,340.12279510498047,0.864,3.071010574698448,304.637,343.1938056796789
clone,270.366,247.24019622802734,110.431,119.93875694274902,380.79699999999997,367.17895317077637
conv2d,519.802,568.7817230224609,62.977,68.9284896850586,582.779,637.7102127075195
batchnorm,206.589,212.8750877380371,383.869,383.2557067871094,590.4580000000001,596.1307945251465
relu,131.839,135.46930313110352,70.879,62.42454814910889,202.71800000000002,197.8938512802124
conv2d,281.982,288.7396545410156,58.944,60.42665767669678,340.92600000000004,349.1663122177124
batchnorm,207.133,238.58353805541992,575.515,392.63111114501953,782.648,631.2146492004395
conv2d,385.885,411.5876998901367,71.455,69.07144737243652,457.34,480.65914726257324
batchnorm,207.998,224.0457305908203,372.061,368.3430862426758,580.059,592.3888168334961
relu,132.447,125.16344451904297,4.96,13.04736328125,137.407,138.21080780029297
cat,305.021,320.93639373779297,0.704,1.9747924506664276,305.725,322.9111861884594
clone,270.558,237.9800796508789,91.007,122.01342010498047,361.565,359.9934997558594
conv2d,518.555,547.8735122680664,67.872,67.76738357543945,586.4269999999999,615.6408958435059
batchnorm,206.334,216.2657012939453,380.252,375.5173034667969,586.586,591.7830047607422
relu,132.863,130.9434814453125,53.984,60.95438766479492,186.847,191.89786911010742
conv2d,282.333,302.3285217285156,63.84,62.142218589782715,346.173,364.47074031829834
batchnorm,207.005,233.54518508911133,390.813,390.9522247314453,597.818,624.4974098205566
conv2d,383.933,401.677978515625,70.495,68.56698989868164,454.428,470.24496841430664
batchnorm,209.822,215.9970817565918,370.237,375.5350570678711,580.059,591.5321388244629
relu,133.375,132.59119606018066,11.2,16.702458381652832,144.575,149.2936544418335
cat,304.733,329.61466217041016,0.832,1.561420425772667,305.565,331.1760825961828
clone,270.302,236.67190170288086,82.239,124.02218246459961,352.54100000000005,360.69408416748047
conv2d,518.491,573.6400604248047,66.624,68.93880653381348,585.115,642.5788669586182
batchnorm,205.982,220.56871032714844,530.971,380.20763397216797,736.953,600.7763442993164
relu,132.959,137.24621963500977,60.095,57.83712673187256,193.054,195.08334636688232
conv2d,282.494,287.6175537109375,62.911,61.794965744018555,345.40500000000003,349.41251945495605
batchnorm,205.502,228.86860275268555,386.589,390.2703552246094,592.091,619.1389579772949
conv2d,382.716,418.35150146484375,68.48,68.05563545227051,451.196,486.40713691711426
batchnorm,204.062,219.3178253173828,386.461,372.21668243408203,590.523,591.5345077514648
relu,132.286,129.84328842163086,5.888,26.458969116210938,138.174,156.3022575378418
cat,304.574,340.12279510498047,0.704,3.071010574698448,305.278,343.1938056796789
clone,270.621,247.24019622802734,78.783,119.93875694274902,349.404,367.17895317077637
conv2d,518.364,568.7817230224609,61.343,68.9284896850586,579.707,637.7102127075195
batchnorm,203.423,212.8750877380371,383.164,383.2557067871094,586.587,596.1307945251465
relu,131.455,135.46930313110352,56.479,62.42454814910889,187.93400000000003,197.8938512802124
conv2d,277.694,288.7396545410156,58.239,60.42665767669678,335.933,349.1663122177124
batchnorm,206.206,238.58353805541992,396.285,392.63111114501953,602.491,631.2146492004395
conv2d,381.596,411.5876998901367,66.816,69.07144737243652,448.41200000000003,480.65914726257324
batchnorm,204.254,224.0457305908203,384.477,368.3430862426758,588.731,592.3888168334961
relu,131.902,125.16344451904297,8.929,13.04736328125,140.831,138.21080780029297
cat,302.909,320.93639373779297,98.719,1.9747924506664276,401.628,322.9111861884594
clone,269.597,237.9800796508789,143.071,122.01342010498047,412.668,359.9934997558594
conv2d,518.203,547.8735122680664,63.232,67.76738357543945,581.435,615.6408958435059
batchnorm,204.446,216.2657012939453,377.629,375.5173034667969,582.075,591.7830047607422
relu,133.406,130.9434814453125,54.112,60.95438766479492,187.518,191.89786911010742
conv2d,279.613,302.3285217285156,55.52,62.142218589782715,335.133,364.47074031829834
batchnorm,206.526,233.54518508911133,393.404,390.9522247314453,599.9300000000001,624.4974098205566
conv2d,385.918,401.677978515625,73.534,68.56698989868164,459.452,470.24496841430664
batchnorm,206.784,215.9970817565918,373.051,375.5350570678711,579.835,591.5321388244629
relu,131.935,132.59119606018066,10.528,16.702458381652832,142.463,149.2936544418335
cat,303.965,329.61466217041016,0.704,1.561420425772667,304.669,331.1760825961828
clone,270.526,236.34514617919922,79.391,123.04598808288574,349.91700000000003,359.39113426208496
conv2d,519.355,572.3154144287109,65.824,68.90374755859375,585.179,641.2191619873047
batchnorm,204.574,220.41602325439453,375.965,380.12252044677734,580.539,600.5385437011719
relu,131.646,137.42780303955078,56.768,57.85354423522949,188.414,195.28134727478027
conv2d,280.477,287.8652038574219,63.008,61.6910514831543,343.48499999999996,349.5562553405762
batchnorm,208.254,228.76261520385742,384.637,389.9126205444336,592.891,618.675235748291
conv2d,382.78,420.57442474365234,73.279,67.51830863952637,456.05899999999997,488.0927333831787
batchnorm,207.487,224.0384635925293,523.451,363.4492416381836,730.938,587.4877052307129
relu,133.919,138.032470703125,1.312,30.63593864440918,135.23100000000002,168.66840934753418
cat,303.613,303.6146011352539,0.864,1.3803386390209198,304.477,304.9949397742748
clone,270.494,221.11895751953125,0.767,1.8978996276855469,271.261,223.0168571472168
conv2d,188.959,217.84216690063477,56.512,62.37414073944092,245.471,280.2163076400757
batchnorm,88.511,98.9141731262207,537.691,515.6910171508789,626.202,614.6051902770996
conv2d,386.94,374.7505798339844,69.28,71.5490608215332,456.22,446.2996406555176
batchnorm,90.08,104.1632080078125,540.218,479.9770050048828,630.298,584.1402130126953
relu,61.92,40.35590744018555,217.886,193.07985305786133,279.806,233.43576049804688
conv2d,1399.058,1364.9136962890625,71.264,71.29879188537598,1470.322,1436.2124881744385
batchnorm,398.14,431.7232666015625,368.35,324.6902847290039,766.49,756.4135513305664
relu,266.685,300.8743667602539,0.768,1.0676956176757812,267.453,301.9420623779297
conv2d,190.591,210.1940803527832,58.879,60.42924785614014,249.47,270.62332820892334
batchnorm,88.735,105.24493026733398,512.667,520.0466690063477,601.402,625.2915992736816
conv2d,385.661,347.16133880615234,69.215,70.89430236816406,454.876,418.0556411743164
batchnorm,90.657,102.74127197265625,502.554,506.8889617919922,593.211,609.6302337646484
relu,62.848,68.35119342803955,74.943,88.17570877075195,137.791,156.5269021987915
cat,146.078,136.07844161987305,257.15,120.35295867919922,403.22799999999995,256.43140029907227
clone,138.815,108.3873405456543,277.725,284.1724319458008,416.54,392.5597724914551
conv2d,454.491,414.71508026123047,96.673,74.81064796447754,551.164,489.525728225708
batchnorm,88.799,117.8315658569336,491.323,498.3227844238281,580.122,616.1543502807617
relu,62.496,67.47387027740479,122.975,126.69940376281738,185.471,194.17327404022217
conv2d,132.511,139.03252792358398,55.775,66.56265449523926,188.286,205.59518241882324
batchnorm,90.463,91.95965576171875,509.436,524.1461029052734,599.899,616.1057586669922
conv2d,370.332,359.43001556396484,67.744,72.36442756652832,438.076,431.79444313049316
batchnorm,88.543,104.64168930053711,509.019,508.7203369140625,597.562,613.3620262145996
relu,62.816,62.70665168762207,74.271,81.69021415710449,137.087,144.39686584472656
cat,149.887,127.75898551940918,101.535,125.58221054077148,251.422,253.34119606018066
clone,138.719,95.56476593017578,267.581,293.0239715576172,406.3,388.58873748779297
conv2d,439.549,410.12599182128906,94.174,73.02321243286133,533.723,483.1492042541504
batchnorm,89.056,116.05252075195312,489.659,499.9144515991211,578.715,615.9669723510742
relu,63.456,65.75836277008057,121.599,129.29424285888672,185.055,195.05260562896729
conv2d,133.023,144.05442810058594,55.455,58.06465530395508,188.478,202.11908340454102
batchnorm,91.807,91.30298614501953,506.747,518.7886657714844,598.554,610.0916519165039
conv2d,371.262,358.5299758911133,68.83,72.36452102661133,440.092,430.8944969177246
batchnorm,88.768,101.0246696472168,652.634,509.9334411621094,741.402,610.9581108093262
relu,62.784,68.08703708648682,72.319,78.6423397064209,135.103,146.72937679290771
cat,150.527,138.31501007080078,99.295,117.2159423828125,249.822,255.53095245361328
clone,139.039,107.91592407226562,257.533,273.9911994934082,396.572,381.9071235656738
conv2d,439.228,413.2129211425781,97.375,74.31716918945312,536.6030000000001,487.53009033203125
batchnorm,86.176,112.91358184814453,491.227,505.53536224365234,577.403,618.4489440917969
relu,63.007,67.3301248550415,127.744,125.03210258483887,190.751,192.36222743988037
conv2d,132.414,133.0678653717041,55.84,60.853511810302734,188.254,193.92137718200684
batchnorm,91.711,80.52624893188477,502.619,532.9928741455078,594.33,613.5191230773926
conv2d,370.429,359.37786865234375,69.151,71.19599723815918,439.58,430.57386589050293
batchnorm,87.743,100.84965896606445,499.548,513.1051864624023,587.2909999999999,613.9548454284668
relu,62.688,63.40710926055908,73.087,99.04007720947266,135.775,162.44718647003174
cat,150.463,158.07207489013672,101.023,113.3056583404541,251.486,271.3777332305908
clone,139.07,166.16868591308594,243.902,211.57694625854492,382.972,377.74563217163086
conv2d,2513.194,2251.407470703125,69.567,77.1039867401123,2582.761,2328.5114574432373
batchnorm,335.869,353.13880920410156,325.981,338.0672302246094,661.85,691.2060394287109
relu,280.798,260.11832427978516,0.736,0.9395446330308914,281.534,261.05786891281605
others,197.342,175.89546585083008,0.768,0.766824696213007,198.11,176.66229054704309
linear,26.016,16.918894410133362,0.736,0.9775733649730682,26.752,17.89646777510643
linear,3.872,14.273317456245422,0.672,37.86843776702881,4.544,52.14175522327423
cross_entrpy,16.96,27.65630531311035,878.808,917.4462738037109,895.768,945.1025791168213
cross_entrpy,10.337,8.760027170181274,264.892,237.7145881652832,275.229,246.47461533546448
linear,36.96,69.50530338287354,431.324,436.8463821411133,468.284,506.3516855239868
others,147.711,171.7929744720459,0.768,12.107027977705002,148.479,183.9000024497509
relu,414.588,452.49478912353516,0.704,0.9723128825426102,415.29200000000003,453.46710200607777
batchnorm,509.179,580.6627197265625,8.384,8.034225463867188,517.563,588.6969451904297
conv2d,7701.563,8075.217529296875,240.51,241.5958251953125,7942.073,8316.813354492188
relu,101.279,99.89506530761719,0.704,0.727775514125824,101.98299999999999,100.62284082174301
batchnorm,137.311,152.44900131225586,8.224,9.764013290405273,145.535,162.21301460266113
conv2d,1437.81,1480.7779235839844,12.577,16.974040985107422,1450.387,1497.7519645690918
batchnorm,140.287,154.02567672729492,8.416,8.155141830444336,148.703,162.18081855773926
conv2d,373.82,368.72196197509766,5.184,5.644285202026367,379.004,374.366247177124
relu,100.127,93.57712936401367,0.704,0.7183379530906677,100.83099999999999,94.29546731710434
batchnorm,138.271,143.76666259765625,7.968,8.603431701660156,146.23899999999998,152.3700942993164
conv2d,1504.946,1134.3855590820312,302.686,328.85736083984375,1807.6319999999998,1463.242919921875
relu,101.215,106.01507568359375,0.704,0.8200015425682068,101.919,106.83507722616196
batchnorm,142.431,140.611328125,8.416,8.762283325195312,150.847,149.3736114501953
conv2d,1436.626,1335.6611938476562,12.768,14.84659194946289,1449.394,1350.5077857971191
batchnorm,138.751,150.41314315795898,7.808,8.350187301635742,146.559,158.76333045959473
conv2d,375.165,385.75919342041016,5.568,6.028083801269531,380.733,391.7872772216797
relu,100.607,92.7730484008789,0.736,0.700563371181488,101.343,93.4736117720604
batchnorm,141.471,147.44372177124023,8.576,8.382650375366211,150.047,155.82637214660645
conv2d,1505.298,1227.6193237304688,303.517,306.7184715270996,1808.815,1534.3377952575684
relu,101.311,104.18455505371094,0.641,0.8445891737937927,101.95200000000001,105.02914422750473
batchnorm,138.206,136.6427993774414,8.192,8.75699234008789,146.398,145.3997917175293
conv2d,1437.011,1329.0953674316406,12.992,14.385379791259766,1450.003,1343.4807472229004
batchnorm,137.759,147.47132873535156,7.968,7.862836837768555,145.72699999999998,155.33416557312012
conv2d,374.365,393.5943908691406,5.215,5.827268600463867,379.58,399.4216594696045
relu,100.352,96.54391098022461,0.768,0.7220191359519958,101.12,97.2659301161766
batchnorm,137.374,148.3959846496582,8.0,8.228889465332031,145.374,156.62487411499023
conv2d,1505.331,1122.9123229980469,303.485,345.72986602783203,1808.8159999999998,1468.642189025879
relu,101.599,105.10662841796875,0.768,0.8338660597801208,102.367,105.94049447774887
batchnorm,136.415,143.53375625610352,8.16,8.709451675415039,144.575,152.24320793151855
conv2d,1436.596,1241.92333984375,12.863,14.671829223632812,1449.459,1256.5951690673828
batchnorm,143.583,167.703125,8.096,7.948947906494141,151.679,175.65207290649414
conv2d,846.84,975.6202545166016,5.984,5.186120986938477,852.8240000000001,980.80637550354
relu,392.252,398.40352630615234,0.737,0.9376410841941833,392.98900000000003,399.3411673903465
batchnorm,669.113,680.7616882324219,8.48,10.00259017944336,677.5930000000001,690.7642784118652
conv2d,3620.127,3953.005126953125,15.488,23.238853454589844,3635.615,3976.243980407715
relu,99.328,108.69043731689453,0.8,0.9054049849510193,100.128,109.59584230184555
batchnorm,143.071,144.40346145629883,8.479,9.54054069519043,151.55,153.94400215148926
conv2d,1501.171,1342.6727905273438,13.12,16.385908126831055,1514.291,1359.0586986541748
batchnorm,140.19,165.44770050048828,8.609,8.554485321044922,148.799,174.0021858215332
conv2d,872.12,724.2781219482422,668.73,5.934793472290039,1540.85,730.2129154205322
relu,197.886,195.76471328735352,0.704,0.9032973647117615,198.59,196.66801065206528
batchnorm,342.845,316.0019302368164,8.32,8.84052848815918,351.165,324.8424587249756
conv2d,1040.984,1212.2605895996094,11.678,10.58810806274414,1052.662,1222.8486976623535
batchnorm,338.589,377.79302978515625,8.256,8.123926162719727,346.845,385.916955947876
conv2d,622.332,701.3791656494141,5.535,5.834505081176758,627.867,707.2136707305908
relu,197.886,202.72796630859375,0.736,0.8040770888328552,198.62199999999999,203.5320433974266
batchnorm,339.773,346.68626403808594,8.288,9.251846313476562,348.06100000000004,355.9381103515625
conv2d,1174.709,1384.84033203125,580.955,592.2622222900391,1755.6640000000002,1977.102554321289
