op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,14208.44,16228.044921875,84.479,74.51544189453125,14292.919,16302.560363769531
batchnorm,16366.713,15965.78125,300.956,226.46937561035156,16667.668999999998,16192.250625610352
relu,8862.788,10253.873046875,0.959,3.319263458251953,8863.747000000001,10257.192310333252
conv2d,63113.993,63251.146484375,71.55,87.64585876464844,63185.543000000005,63338.79234313965
batchnorm,16340.89,16378.57763671875,284.092,314.11891174316406,16624.982,16692.696548461914
relu,8859.459,9751.5439453125,0.8,3.6555747985839844,8860.259,9755.199520111084
others,7467.031,7563.59375,0.8,1.762872040271759,7467.831,7565.356622040272
conv2d,26869.224,27297.1171875,73.469,87.5338617960612,26942.693,27384.651049296062
batchnorm,7891.473,8365.836588541666,417.69,316.0700988769531,8309.163,8681.90668741862
relu,4437.698,4661.4736328125,0.992,2.082487106323242,4438.6900000000005,4663.556119918823
conv2d,36055.62,37038.0234375,69.343,82.70074081420898,36124.963,37120.72417831421
batchnorm,7935.984,7782.095703125,285.309,302.53173828125,8221.293,8084.62744140625
relu,4404.481,4811.325439453125,0.928,0.8811606913805008,4405.409,4812.2066001445055
others,3831.978,3915.5485229492188,0.896,1.6442222595214844,3832.8740000000003,3917.1927452087402
conv2d,16135.486,15896.640380859375,62.27,62.24705791473389,16197.756000000001,15958.887438774109
batchnorm,3779.435,3809.6632690429688,285.212,302.94954681396484,4064.647,4112.612815856934
relu,2210.945,2303.50439453125,0.96,1.3823165893554688,2211.905,2304.8867111206055
conv2d,25879.764,25441.208984375,73.407,76.58881378173828,25953.171,25517.79779815674
batchnorm,3777.995,3775.5444946289062,285.34,300.3571472167969,4063.335,4075.901641845703
relu,2211.169,2308.1650390625,1.023,1.3277225494384766,2212.192,2309.4927616119385
conv2d,25568.793,25774.732421875,65.119,76.63285255432129,25633.912,25851.36527442932
batchnorm,3765.996,4126.4698486328125,289.499,317.7813034057617,4055.495,4444.251152038574
relu,2200.289,2336.670654296875,1.088,1.2208633422851562,2201.3770000000004,2337.89151763916
others,1933.22,2104.3167724609375,1.153,2.0085487365722656,1934.373,2106.3253211975098
conv2d,12400.529,12369.564453125,72.639,66.58816337585449,12473.168,12436.152616500854
batchnorm,1755.271,1921.2901611328125,284.988,310.9507064819336,2040.259,2232.240867614746
relu,1103.249,1156.8119506835938,0.928,1.2255878448486328,1104.1770000000001,1158.0375385284424
conv2d,21024.281,21799.14013671875,66.078,72.18570899963379,21090.359,21871.325845718384
batchnorm,1756.327,1804.4017944335938,281.692,294.6816101074219,2038.019,2099.0834045410156
relu,1101.553,1109.5225219726562,0.959,1.3283672332763672,1102.5120000000002,1110.8508892059326
conv2d,20986.745,21446.00537109375,69.791,73.11173820495605,21056.536,21519.117109298706
batchnorm,1756.295,1815.5882873535156,288.604,297.61009216308594,2044.8990000000001,2113.1983795166016
relu,1102.993,1087.6169738769531,0.896,1.4964237213134766,1103.889,1089.1133975982666
others,978.098,871.5996322631836,1.056,1.4069576263427734,979.154,873.0065898895264
conv2d,5436.179,5730.786865234375,63.84,67.59090042114258,5500.019,5798.377765655518
batchnorm,416.025,458.2425003051758,286.621,297.99229431152344,702.646,756.2347946166992
relu,275.868,286.81520080566406,1.12,1.260995864868164,276.988,288.0761966705322
conv2d,5353.653,5845.22314453125,60.831,66.38578414916992,5414.484,5911.60892868042
batchnorm,419.003,438.5290832519531,280.795,295.31407928466797,699.798,733.8431625366211
relu,275.74,296.8610534667969,0.864,1.3144397735595703,276.604,298.17549324035645
conv2d,5341.078,5899.8558349609375,62.302,67.72140502929688,5403.38,5967.577239990234
batchnorm,416.986,416.0268020629883,284.892,290.26416778564453,701.8779999999999,706.2909698486328
relu,274.076,282.5536422729492,0.864,1.0536899417638779,274.94,283.6073322147131
others,248.477,188.39612197875977,0.863,1.128396987915039,249.34,189.5245189666748
adaptive_avg_pool2d,773.077,732.6058044433594,3.745,1.8458309024572372,776.822,734.4516353458166
linear,4439.297,4257.259216308594,1.12,1.3507423400878906,4440.4169999999995,4258.609958648682
relu,6.016,6.557611778378487,0.896,1.0871925354003906,6.912,7.644804313778877
iadd,7.84,4.108522891998291,3.776,1.1988258361816406,11.616,5.307348728179932
linear,602.935,672.4786376953125,0.992,0.9145354777574539,603.9269999999999,673.39317317307
relu,5.696,5.327249884605408,0.928,1.1080379486083984,6.624,6.435287833213806
iadd,7.936,2.38833087682724,3.648,1.3572673797607422,11.584,3.745598256587982
linear,178.653,107.45069789886475,0.96,0.9403228312730789,179.613,108.39102073013783
cross_entrpy,31.681,31.407504081726074,401.497,378.97007751464844,433.178,410.3775815963745
cross_entrpy,16.704,31.03175640106201,673.783,634.3162536621094,690.487,665.3480100631714
iadd,11.808,30.04663324356079,1.024,12.746461868286133,12.832,42.793095111846924
relu,10.399,37.8416166305542,1775.752,2002.4138793945312,1786.1509999999998,2040.2554960250854
iadd,11.551,17.864160537719727,1.024,1.4838752746582031,12.575,19.34803581237793
relu,10.432,-715.5510559082031,10476.173,10244.07080078125,10486.605000000001,9528.519744873047
adaptive_avg_pool2d,686.934,706.4762649536133,1.888,2.2487945407629013,688.822,708.7250594943762
others,807.381,830.1919250488281,1.888,2.291105270385742,809.269,832.4830303192139
relu,407.226,492.5212097167969,1.024,1.1228141784667969,408.25,493.6440238952637
batchnorm,695.158,790.2261810302734,9.984,10.427696228027344,705.142,800.6538772583008
conv2d,10133.682,10682.3955078125,120.445,119.71344566345215,10254.127,10802.108953475952
relu,408.795,432.3178024291992,1.024,0.9089640974998474,409.819,433.22676652669907
batchnorm,696.598,720.1298370361328,9.568,11.374446868896484,706.1659999999999,731.5042839050293
conv2d,10009.651,10384.466796875,121.246,117.64885711669922,10130.896999999999,10502.1156539917
relu,407.994,428.8440170288086,0.832,0.8831462264060974,408.826,429.7271632552147
batchnorm,695.031,732.6645660400391,9.536,11.204267501831055,704.5669999999999,743.8688335418701
conv2d,9899.092,10939.076171875,119.711,123.52048301696777,10018.803,11062.596654891968
others,3122.322,3210.7759399414062,1.633,2.193593978881836,3123.955,3212.969533920288
relu,1617.226,1652.9368591308594,0.832,0.9685229957103729,1618.0580000000002,1653.9053821265697
batchnorm,2921.879,3040.7695922851562,9.248,9.969951629638672,2931.127,3050.739543914795
conv2d,37061.591,37307.0166015625,119.869,117.48522186279297,37181.46,37424.50182342529
relu,1620.393,1584.2997436523438,0.929,0.7858161330223083,1621.3220000000001,1585.085559785366
batchnorm,2914.87,3001.6067504882812,9.248,10.116270065307617,2924.118,3011.723020553589
conv2d,37353.939,38719.9189453125,119.55,107.45158004760742,37473.489,38827.37052536011
relu,1613.417,1659.9448852539062,1.024,1.0281600803136826,1614.4409999999998,1660.97304533422
batchnorm,2924.919,2996.094482421875,9.536,11.07486343383789,2934.455,3007.169345855713
conv2d,21678.031,21633.1904296875,64.703,71.6104965209961,21742.734,21704.800926208496
others,6394.374,6514.75341796875,2.048,2.693449020385742,6396.422,6517.446866989136
relu,3223.154,3478.515869140625,0.993,1.4778709411621094,3224.147,3479.993740081787
batchnorm,6289.863,6563.91748046875,9.952,7.911411285400391,6299.8150000000005,6571.82889175415
conv2d,51266.415,48658.873046875,37.022,23.90859603881836,51303.437,48682.78164291382
relu,3196.404,3309.9816284179688,0.991,1.2251453399658203,3197.395,3311.2067737579346
batchnorm,6334.215,6368.9150390625,11.168,7.956199645996094,6345.383,6376.871238708496
conv2d,52193.186,48162.341796875,36.607,25.537474632263184,52229.793000000005,48187.87927150726
relu,3207.155,3361.343994140625,1.12,1.330373764038086,3208.275,3362.674367904663
batchnorm,6318.087,6286.3917236328125,10.752,9.135110855102539,6328.839000000001,6295.526834487915
conv2d,30864.621,30587.17529296875,26.656,25.140790939331055,30891.277,30612.31608390808
others,12202.164,12477.12646484375,1.953,4.164619445800781,12204.117,12481.29108428955
relu,6455.716,6226.2476806640625,0.832,1.316131591796875,6456.548000000001,6227.563812255859
batchnorm,13245.222,14093.02099609375,9.376,10.169950485229492,13254.598,14103.19094657898
conv2d,72244.294,69074.0458984375,22.817,-7.886510848999023,72267.11099999999,69066.1593875885
relu,6414.533,6350.018310546875,1.056,0.9784698076546192,6415.589,6350.99678035453
batchnorm,13313.918,12953.099609375,9.728,11.545953750610352,13323.645999999999,12964.64556312561
conv2d,53159.43,56299.2333984375,19.745,8.600248336791992,53179.175,56307.83364677429
others,22634.511,23665.215494791668,1.76,3.327836354573568,22636.270999999997,23668.54333114624
relu,12959.263,13072.9931640625,0.864,1.521587351957957,12960.127,13074.514751414457
batchnorm,27069.388,29355.201822916668,8.672,6.390402475992839,27078.059999999998,29361.592225392662
conv2d,130710.564,127677.7109375,19.712,-31.233688354492188,130730.276,127646.47724914551
relu,12993.95,13639.84423828125,0.8,2.9185943603515625,12994.75,13642.762832641602
batchnorm,27118.412,25869.6416015625,17.248,1.9924926459789276,27135.66,25871.63409420848
conv2d,13599.029,9351.0546875,12.768,6.197910308837891,13611.797,9357.252597808838
