op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,14444.076,16053.0517578125,3.296,3.371288299560547,14447.372,16056.42304611206
relu,8874.686,8991.17578125,0.96,3.9023399353027344,8875.645999999999,8995.078121185303
conv2d,63031.621,66332.3359375,4.704,-2.9306373596191406,63036.325,66329.40530014038
relu,8837.662,8819.21142578125,0.896,3.1406173706054688,8838.558,8822.352043151855
others,7456.019,8280.626220703125,1.024,1.8392791748046875,7457.043000000001,8282.46549987793
conv2d,26812.632,27985.5849609375,4.671,7.364734649658203,26817.303,27992.94969558716
relu,4418.335,4901.202311197917,1.024,1.6852277119954426,4419.359,4902.887538909912
conv2d,36631.174,39473.361979166664,4.929,6.860365549723308,36636.102999999996,39480.222344716385
relu,4393.632,4786.965983072917,1.056,3.3070767720540366,4394.687999999999,4790.273059844971
others,3829.704,3643.6907348632812,0.96,0.3843154311180115,3830.664,3644.0750502943993
conv2d,16688.81,16104.789306640625,5.153,4.963092803955078,16693.963,16109.75239944458
relu,2203.648,2165.6951904296875,0.928,1.6220111846923828,2204.576,2167.31720161438
conv2d,25964.867,26297.3056640625,4.768,4.838987350463867,25969.635,26302.144651412964
relu,2209.568,2169.7684326171875,0.96,1.2879352569580078,2210.5280000000002,2171.0563678741455
conv2d,27708.458,26269.02490234375,5.408,18.408100128173828,27713.865999999998,26287.433002471924
relu,2192.767,2263.7615966796875,1.12,1.3184318542480469,2193.8869999999997,2265.0800285339355
others,1935.268,2261.8079833984375,1.184,0.7814540266990662,1936.452,2262.5894374251366
conv2d,12558.825,12194.1259765625,5.375,13.514764785766602,12564.2,12207.640741348267
relu,1099.984,1281.1897583007812,1.088,1.4181480407714844,1101.072,1282.6079063415527
conv2d,21433.958,21549.2158203125,5.6,4.960716247558594,21439.557999999997,21554.17653656006
relu,1101.072,1217.5941162109375,1.024,1.5133705139160156,1102.0959999999998,1219.1074867248535
conv2d,21435.781,23642.52099609375,5.249,8.316722869873047,21441.03,23650.837718963623
relu,1100.655,1291.1133422851562,0.992,1.334543228149414,1101.647,1292.4478855133057
others,979.57,1138.7130432128906,1.12,1.0732268989086151,980.69,1139.7862701117992
conv2d,5593.198,6792.412353515625,5.44,6.055746078491211,5598.638,6798.468099594116
relu,277.34,355.20726776123047,1.12,0.7981299757957458,278.46,356.0053977370262
conv2d,5594.351,6472.14697265625,5.439,14.982901573181152,5599.79,6487.129874229431
relu,275.868,324.49375915527344,1.088,0.922092393040657,276.956,325.4158515483141
conv2d,5602.83,6302.5362548828125,5.184,6.475494384765625,5608.014,6309.011749267578
relu,276.06,374.6212692260742,1.248,0.9854545146226883,277.308,375.6067237406969
others,249.148,230.90533065795898,0.96,1.0406798869371414,250.108,231.94601054489613
adaptive_avg_pool2d,831.316,1066.0025024414062,3.936,2.1298084259033203,835.2520000000001,1068.1323108673096
linear,4421.119,4794.1923828125,1.088,1.412557601928711,4422.206999999999,4795.604940414429
relu,6.272,7.629144862294197,0.96,0.9866847842931747,7.232,8.615829646587372
iadd,8.352,5.32354199886322,3.807,1.1228580325841904,12.159,6.446400031447411
linear,614.904,649.4851531982422,1.056,0.798404648900032,615.96,650.2835578471422
relu,5.919,10.04760205745697,1.057,1.0359535068273544,6.975999999999999,11.083555564284325
iadd,8.351,3.3240685164928436,3.776,1.2168273776769638,12.127,4.540895894169807
linear,187.613,90.70910739898682,1.377,1.0606498271226883,188.99,91.7697572261095
cross_entrpy,33.599,32.297372341156006,412.474,384.3163375854492,446.073,416.6137099266052
cross_entrpy,17.502,27.482203006744385,716.823,601.057861328125,734.3249999999999,628.5400643348694
iadd,12.064,21.323381423950195,0.992,19.80908966064453,13.056000000000001,41.13247108459473
relu,10.592,25.217783451080322,1837.701,1988.5118713378906,1848.2930000000001,2013.729654788971
iadd,11.808,17.701136112213135,0.992,1.7597408294677734,12.8,19.460876941680908
relu,10.496,-850.2427673339844,10885.888,10654.12451171875,10896.384,9803.881744384766
adaptive_avg_pool2d,735.894,994.9037933349609,1.792,2.990631103515625,737.686,997.8944244384766
others,855.347,850.0177001953125,2.112,1.7231712341308594,857.459,851.7408714294434
relu,407.258,431.3426818847656,0.96,1.378265380859375,408.21799999999996,432.720947265625
conv2d,10794.369,11400.05859375,120.351,121.7946834564209,10914.720000000001,11521.85327720642
relu,406.522,419.9109802246094,1.024,1.5707263946533203,407.546,421.4817066192627
conv2d,10364.424,11759.041748046875,121.694,125.52505302429199,10486.118,11884.566801071167
relu,404.41,461.2450256347656,1.056,1.4627494812011719,405.466,462.7077751159668
conv2d,10328.52,11752.93310546875,121.887,115.39484214782715,10450.407000000001,11868.327947616577
others,3236.881,3257.0178833007812,1.92,0.6138877868652344,3238.801,3257.6317710876465
relu,1612.808,1739.9979858398438,0.96,1.6129779815673828,1613.768,1741.6109638214111
conv2d,39991.703,39047.458984375,120.573,119.0183048248291,40112.276,39166.47728919983
relu,1605.737,1709.6096496582031,0.896,0.8697089552879333,1606.633,1710.479358613491
conv2d,40773.163,39754.0107421875,121.694,109.83024597167969,40894.857,39863.84098815918
relu,1607.72,1751.131591796875,0.992,1.2690258026123047,1608.712,1752.4006175994873
conv2d,23154.638,23214.52685546875,65.534,65.9270544052124,23220.172,23280.453909873962
others,6763.869,6586.9185791015625,2.08,2.4820423126220703,6765.949,6589.400621414185
relu,3217.616,3388.9344482421875,1.12,1.8340587615966797,3218.736,3390.768507003784
conv2d,52419.457,50371.3876953125,35.647,44.85821533203125,52455.104,50416.24591064453
relu,3201.105,3225.064697265625,0.896,0.9117297865450382,3202.001,3225.97642705217
conv2d,53221.461,50409.25,37.758,33.540903091430664,53259.219000000005,50442.79090309143
relu,3198.258,3294.318359375,0.928,1.1905517578125,3199.1859999999997,3295.5089111328125
conv2d,31803.758,32731.69873046875,26.495,28.183789253234863,31830.253,32759.882519721985
others,12883.492,13248.259033203125,1.951,1.8498992919921875,12885.443,13250.108932495117
relu,6433.506,6533.4437255859375,1.12,2.114534378051758,6434.626,6535.558259963989
conv2d,73524.395,73900.8046875,22.815,7.006679515043895,73547.21,73907.81136701505
relu,6395.843,7133.86767578125,1.12,2.6554349263509116,6396.963,7136.523110707601
conv2d,56707.17,60021.3203125,21.375,21.372620900472004,56728.545,60042.692933400474
others,24147.742,23425.9033203125,1.824,1.273235296830535,24149.566,23427.17655560933
relu,12930.434,12810.94775390625,1.024,8.683887481689453,12931.457999999999,12819.63164138794
conv2d,131186.623,123636.3515625,19.327,-29.99216079711914,131205.94999999998,123606.35940170288
relu,12975.298,12010.3173828125,4.736,5.815303802490234,12980.034000000001,12016.13268661499
conv2d,13744.982,9456.6240234375,11.648,12.091503143310547,13756.63,9468.71552658081
