op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,14713.719,16770.2890625,2.816,2.7398033142089844,14716.535,16773.02886581421
relu,8893.498,9303.673828125,0.832,3.461414337158203,8894.33,9307.135242462158
others,7468.81,7883.70849609375,1.024,1.3290138244628906,7469.834000000001,7885.037509918213
conv2d,26889.386,27553.3720703125,4.288,4.978694885969162,26893.674,27558.35076519847
relu,4435.117,4723.202880859375,0.832,1.5927047729492188,4435.9490000000005,4724.795585632324
others,3834.292,3860.6748046875,0.928,0.6497458815574646,3835.22,3861.3245505690575
conv2d,15880.969,16174.251953125,4.512,4.69967778523763,15885.481,16178.951630910238
relu,2216.326,2067.7698974609375,0.929,1.3958752950032551,2217.255,2069.165772755941
conv2d,24695.62,25989.908203125,4.575,4.332271575927734,24700.195,25994.240474700928
relu,2219.783,2244.9559936523438,0.864,1.3055877685546875,2220.647,2246.2615814208984
others,1934.857,2257.1295776367188,0.832,0.7648486495018005,1935.689,2257.8944262862206
conv2d,11817.496,12037.201904296875,4.896,7.83836555480957,11822.392,12045.040269851685
relu,1107.636,1211.0900268554688,0.96,1.1581954807043076,1108.596,1212.248222336173
conv2d,20270.646,22966.10693359375,4.896,3.4892711639404297,20275.542,22969.59620475769
relu,1105.971,1265.8376159667969,0.833,1.2257957458496094,1106.804,1267.0634117126465
others,978.324,1047.18603515625,0.864,0.9783095866441727,979.188,1048.1643447428942
conv2d,5280.002,6783.477783203125,4.865,7.832889556884766,5284.867,6791.31067276001
relu,276.381,356.1874313354492,1.024,0.8990325480699539,277.405,357.0864638835192
conv2d,5441.345,6961.0272216796875,5.312,8.447319030761719,5446.657,6969.474540710449
relu,276.029,408.43585205078125,0.96,0.923854798078537,276.989,409.3597068488598
others,249.149,257.9714241027832,0.896,1.0356521308422089,250.045,259.0070762336254
adaptive_avg_pool2d,803.127,1106.7967224121094,3.968,3.224447250366211,807.0949999999999,1110.0211696624756
linear,4514.636,4667.9794921875,0.96,1.3183174133300781,4515.5960000000005,4669.29780960083
relu,6.272,9.724489450454712,1.024,1.1621208190917969,7.296,10.886610269546509
iadd,8.352,6.889925241470337,3.84,1.1559657901525497,12.192,8.045891031622887
linear,604.217,657.4716262817383,0.928,0.8348598033189774,605.145,658.3064860850573
relu,5.664,8.599764108657837,0.896,1.1440296173095703,6.56,9.743793725967407
iadd,8.128,3.2294869422912598,3.68,2.2987308502197266,11.808,5.528217792510986
linear,177.629,80.8454942703247,1.153,0.9801215827465057,178.78199999999998,81.82561585307121
cross_entrpy,29.952,18.180261611938477,461.978,370.13201904296875,491.93,388.3122806549072
cross_entrpy,16.223,35.5712103843689,578.362,578.8271331787109,594.5849999999999,614.3983435630798
iadd,11.616,24.653512954711914,1.024,15.543465614318848,12.64,40.19697856903076
relu,10.464,36.930299282073975,1853.003,2203.86572265625,1863.4669999999999,2240.796021938324
iadd,11.935,18.176218032836914,0.929,1.8685722351074219,12.864,20.044790267944336
relu,10.335,-910.6435165405273,10706.373,10640.335205078125,10716.707999999999,9729.691688537598
adaptive_avg_pool2d,710.615,878.3931121826172,2.049,1.4339981079101562,712.664,879.8271102905273
others,832.662,847.7722778320312,2.24,1.6175670623779297,834.902,849.3898448944092
relu,405.723,418.95286560058594,1.024,1.7183818817138672,406.747,420.6712474822998
conv2d,10556.231,11827.193359375,121.663,126.98880386352539,10677.894,11954.182163238525
relu,405.147,441.5575866699219,0.896,1.0991420596837997,406.043,442.6567287296057
conv2d,10277.29,11774.23828125,119.998,112.33363151550293,10397.288,11886.571912765503
others,3241.435,3286.36572265625,2.048,0.5818309783935547,3243.4829999999997,3286.9475536346436
relu,1611.085,1729.856689453125,1.024,1.481353759765625,1612.109,1731.3380432128906
conv2d,38287.43,38927.5126953125,120.0,116.00764083862305,38407.43,39043.52033615112
relu,1610.542,1732.1693115234375,1.088,1.036992996931076,1611.6299999999999,1733.2063045203686
conv2d,21877.924,22245.69677734375,64.607,68.74273204803467,21942.531,22314.439509391785
others,6314.263,6629.7249755859375,2.08,2.2559585571289062,6316.343,6631.980934143066
relu,3219.484,3354.1344604492188,1.055,1.520263671875,3220.5389999999998,3355.6547241210938
conv2d,51368.72,53074.400390625,35.809,37.15206718444824,51404.529,53111.55245780945
relu,3219.899,3355.1631469726562,0.927,1.596933364868164,3220.826,3356.7600803375244
conv2d,32314.061,32413.23046875,27.231,25.080257415771484,32341.292,32438.31072616577
others,13396.422,13074.538411458334,1.888,2.619553883870443,13398.310000000001,13077.157965342205
relu,6416.182,6812.085123697917,0.928,1.7116788228352864,6417.11,6813.796802520752
conv2d,54214.639,58351.936197916664,19.361,14.951213836669922,54234.0,58366.887411753334
others,23504.722,20879.212890625,1.696,-0.2837563082575798,23506.418,20878.929134316742
relu,12944.522,12782.1259765625,4.993,5.652099609375,12949.515000000001,12787.778076171875
conv2d,14195.58,11216.45654296875,12.672,7.901660919189453,14208.252,11224.35820388794
