op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,14340.327,16228.044921875,96.094,74.51544189453125,14436.420999999998,16302.560363769531
batchnorm,16319.561,15965.78125,308.123,226.46937561035156,16627.684,16192.250625610352
relu,8850.714,10253.873046875,0.832,3.319263458251953,8851.546,10257.192310333252
conv2d,63204.897,63251.146484375,77.79,87.64585876464844,63282.687,63338.79234313965
batchnorm,16381.736,16378.57763671875,292.955,314.11891174316406,16674.691000000003,16692.696548461914
relu,8831.002,9751.5439453125,0.832,3.6555747985839844,8831.834,9755.199520111084
others,7461.807,7563.59375,0.896,1.762872040271759,7462.7029999999995,7565.356622040272
conv2d,26886.472,27297.1171875,73.055,87.5338617960612,26959.527000000002,27384.651049296062
batchnorm,7943.271,8365.836588541666,283.42,316.0700988769531,8226.690999999999,8681.90668741862
relu,4434.429,4661.4736328125,0.8,2.082487106323242,4435.229,4663.556119918823
conv2d,35929.855,37038.0234375,71.839,82.70074081420898,36001.694,37120.72417831421
batchnorm,7959.176,7782.095703125,288.251,302.53173828125,8247.427,8084.62744140625
relu,4394.333,4811.2232666015625,0.928,0.8892344981431961,4395.2609999999995,4812.112501099706
others,3832.678,3912.2549438476562,1.088,1.6635589599609375,3833.766,3913.918502807617
conv2d,16349.351,15921.322998046875,66.847,62.2383394241333,16416.198,15983.561337471008
batchnorm,3766.599,3815.2273559570312,284.156,302.3934860229492,4050.755,4117.6208419799805
relu,2208.543,2305.0819091796875,0.992,1.3889446258544922,2209.5350000000003,2306.470853805542
conv2d,26116.244,25486.91748046875,69.726,76.51377868652344,26185.969999999998,25563.431259155273
batchnorm,3776.391,3780.837890625,278.524,299.926025390625,4054.915,4080.763916015625
relu,2209.15,2304.2811279296875,0.992,1.3772869110107422,2210.1420000000003,2305.6584148406982
conv2d,25578.973,25327.91650390625,65.566,77.00031852722168,25644.539,25404.91682243347
batchnorm,3764.839,3778.2266235351562,280.156,300.7571792602539,4044.995,4078.98380279541
relu,2198.174,2313.2735595703125,0.961,1.3327789306640625,2199.1349999999998,2314.6063385009766
conv2d,26826.503,25839.3740234375,66.144,76.66923904418945,26892.647,25916.04326248169
batchnorm,3766.375,4129.758544921875,284.252,317.807373046875,4050.627,4447.56591796875
relu,2205.886,2335.471923828125,1.056,1.2209854125976562,2206.942,2336.6929092407227
others,1932.355,2105.37841796875,0.896,1.9966449737548828,1933.251,2107.375062942505
conv2d,12137.897,12421.08935546875,63.934,66.70649337768555,12201.831,12487.795848846436
batchnorm,1749.125,1924.9565124511719,287.356,310.17530822753906,2036.481,2235.131820678711
relu,1102.223,1154.3381652832031,0.928,1.226846694946289,1103.151,1155.5650119781494
conv2d,20637.799,21992.796875,67.487,72.86555862426758,20705.286,22065.662433624268
batchnorm,1748.901,1837.1517639160156,288.796,293.57117462158203,2037.6970000000001,2130.7229385375977
relu,1103.439,1129.102783203125,0.864,1.3939037322998047,1104.303,1130.4966869354248
conv2d,21417.947,21740.5634765625,72.863,72.34767723083496,21490.81,21812.911153793335
