op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,4262.625,4994.36328125,85.724,81.86748504638672,4348.349,5076.230766296387
batchnorm,3916.497,4309.19287109375,336.593,354.0678405761719,4253.09,4663.260711669922
relu,2212.605,2327.31103515625,1.024,1.0633888244628906,2213.629,2328.374423980713
others,2003.494,1819.0380249023438,0.832,1.3486709594726562,2004.326,1820.3866958618164
conv2d,3363.977,3598.3394775390625,65.213,70.18588638305664,3429.19,3668.525363922119
batchnorm,944.278,938.8574523925781,323.762,337.5844268798828,1268.04,1276.441879272461
relu,555.623,593.4899495442709,1.024,1.1814104715983074,556.647,594.6713600158691
conv2d,3359.688,3335.7298990885415,69.406,72.5344975789388,3429.094,3408.2643966674805
batchnorm,951.254,986.5260620117188,321.553,328.89588419596356,1272.807,1315.4219462076824
iadd,808.508,790.4623260498047,0.864,0.9970435947179794,809.3720000000001,791.4593696445227
relu,553.959,551.1279602050781,0.896,1.2258949279785156,554.8549999999999,552.3538551330566
conv2d,3357.162,3116.3837280273438,65.693,72.3558120727539,3422.855,3188.7395401000977
batchnorm,942.966,907.8143615722656,326.993,337.75574493408203,1269.959,1245.5701065063477
relu,555.111,586.6922149658203,0.96,1.2316036224365234,556.071,587.9238185882568
conv2d,3363.433,3164.4918212890625,71.326,74.76566505432129,3434.759,3239.257486343384
batchnorm,950.037,945.8698120117188,319.282,332.092529296875,1269.319,1277.9623413085938
iadd,806.94,813.7302703857422,1.024,1.0604572147130966,807.964,814.7907276004553
relu,550.151,561.9596252441406,1.056,1.1306094974279404,551.207,563.0902347415686
conv2d,3366.762,3245.6324462890625,66.908,72.55943870544434,3433.67,3318.191884994507
batchnorm,953.238,915.8612365722656,324.113,337.99407958984375,1277.351,1253.8553161621094
relu,554.023,592.0930786132812,1.056,1.118741974234581,555.0790000000001,593.2118205875158
conv2d,3367.72,3267.7831420898438,70.494,73.53739738464355,3438.214,3341.3205394744873
batchnorm,953.174,956.2104949951172,463.211,335.2502899169922,1416.385,1291.4607849121094
iadd,807.963,813.4481964111328,0.897,1.1331329345703125,808.86,814.5813293457031
relu,552.455,562.6361694335938,0.832,1.1380271911621094,553.287,563.7741966247559
conv2d,1965.448,2177.078857421875,62.653,73.33503723144531,2028.101,2250.4138946533203
batchnorm,452.459,521.8107833862305,319.25,345.18152618408203,771.7090000000001,866.9923095703125
relu,277.46,322.81104278564453,0.992,1.2829093933105469,278.452,324.0939521789551
conv2d,2033.031,2024.1803588867188,70.011,70.37253952026367,2103.042,2094.5528984069824
batchnorm,459.692,519.5445327758789,323.185,335.2027282714844,782.877,854.7472610473633
conv2d,316.848,437.2376251220703,61.471,67.15217018127441,378.319,504.3897953033447
batchnorm,464.331,460.11478424072266,328.177,349.13150787353516,792.508,809.2462921142578
iadd,405.966,438.43934631347656,0.96,1.1610870361328125,406.926,439.6004333496094
relu,275.348,295.36749267578125,0.896,0.9895247966051102,276.244,296.35701747238636
conv2d,2030.181,2070.5719604492188,66.749,71.27958679199219,2096.93,2141.851547241211
batchnorm,459.436,503.1497116088867,321.585,340.44105529785156,781.021,843.5907669067383
relu,276.019,310.63838958740234,1.057,1.2496337890625,277.076,311.88802337646484
conv2d,2034.052,2076.142791748047,66.078,70.12725257873535,2100.13,2146.270044326782
batchnorm,456.267,521.0209045410156,321.969,331.49243927001953,778.236,852.5133438110352
iadd,405.679,447.9220657348633,0.927,1.0048026889562607,406.606,448.92686842381954
relu,275.956,291.90787506103516,0.992,0.9341392070055008,276.94800000000004,292.84201426804066
conv2d,2031.045,2045.9409790039062,67.869,70.37100410461426,2098.914,2116.3119831085205
batchnorm,456.556,478.34954833984375,465.483,342.37349700927734,922.039,820.7230453491211
relu,277.652,302.8870162963867,0.927,1.2671833038330078,278.579,304.1541996002197
conv2d,2035.365,1986.9476013183594,70.909,70.21700668334961,2106.274,2057.164608001709
batchnorm,455.755,500.0822296142578,320.882,336.33866119384766,776.637,836.4208908081055
iadd,408.302,436.5785140991211,0.832,1.068136215209961,409.134,437.64665031433105
relu,276.02,283.7384490966797,0.895,0.8593787550926208,276.91499999999996,284.5978278517723
conv2d,2031.718,2103.1060180664062,67.165,70.74867820739746,2098.8830000000003,2173.8546962738037
batchnorm,457.803,483.1241149902344,334.897,341.71533203125,792.7,824.8394470214844
relu,275.54,299.35994720458984,0.864,1.1708431243896484,276.404,300.5307903289795
conv2d,2031.364,2120.135498046875,61.214,69.92137718200684,2092.578,2190.056875228882
batchnorm,458.604,514.7043533325195,307.762,336.0064239501953,766.366,850.7107772827148
iadd,405.645,442.1205062866211,0.865,1.0910396575927734,406.51,443.21154594421387
relu,276.307,310.0850372314453,0.864,1.007032349705696,277.171,311.092069581151
conv2d,1915.274,1907.2242736816406,63.326,69.89821243286133,1978.6,1977.122486114502
batchnorm,214.101,254.41876220703125,318.675,352.73567962646484,532.7760000000001,607.1544418334961
relu,137.082,143.76753997802734,78.332,83.59936141967773,215.414,227.36690139770508
conv2d,1519.132,1675.3506774902344,71.421,69.67972564697266,1590.553,1745.030403137207
batchnorm,214.998,237.16777420043945,374.256,376.36376190185547,589.2539999999999,613.5315361022949
conv2d,274.931,311.96128845214844,62.397,69.95884704589844,337.328,381.9201354980469
batchnorm,218.583,219.47957611083984,466.987,351.75457763671875,685.57,571.2341537475586
iadd,204.278,233.26611709594727,0.832,1.0565986186265945,205.10999999999999,234.32271571457386
relu,139.354,148.15323638916016,0.8,51.75104904174805,140.15400000000002,199.9042854309082
conv2d,1515.997,1607.6065368652344,62.717,68.91688537597656,1578.7140000000002,1676.523422241211
batchnorm,219.317,245.83105850219727,308.915,340.81746673583984,528.232,586.6485252380371
relu,136.314,141.77914810180664,78.716,79.86179542541504,215.02999999999997,221.64094352722168
conv2d,1514.238,1591.4730834960938,64.988,68.5273380279541,1579.226,1660.0004215240479
batchnorm,217.878,230.4353904724121,306.61,329.05230712890625,524.488,559.4876976013184
