op,duration,duration_pred,gap,gap_pred,total,total_pred
conv2d,2786.664,1478.91015625,2.463,1.7238426208496094,2789.1270000000004,1480.6339988708496
relu,539.445,666.3348999023438,0.768,1.0526695251464844,540.2130000000001,667.3875694274902
others,507.414,734.8836669921875,0.832,1.2565269470214844,508.246,736.140193939209
conv2d,3305.245,3053.48046875,3.904,3.3574485778808594,3309.149,3056.837917327881
relu,390.712,412.77838134765625,0.864,0.9676017165184021,391.57599999999996,413.74598306417465
others,397.4,457.95680236816406,0.8,1.6978263854980469,398.2,459.6546287536621
conv2d,1768.413,2004.4454752604167,3.871,3.746845245361328,1772.284,2008.192320505778
relu,184.636,192.73403930664062,0.832,0.9471549590428671,185.468,193.6811942656835
conv2d,2056.246,2432.1302897135415,3.904,5.182603200276692,2060.15,2437.3128929138184
relu,122.174,148.93260765075684,0.832,0.6619471907615662,123.006,149.5945548415184
conv2d,1510.945,1601.3195190429688,4.192,3.8553104400634766,1515.137,1605.1748294830322
relu,122.013,141.90949058532715,0.801,0.5651149153709412,122.81400000000001,142.4746055006981
others,138.045,173.23896408081055,0.672,0.9901046305894852,138.71699999999998,174.22906871140003
adaptive_avg_pool2d,299.545,104.99893999099731,0.737,1.04285429418087,300.28200000000004,106.04179428517818
iadd,15.615,34.04518413543701,3.264,1.1326141208410263,18.879,35.17779825627804
linear,1603.2,1427.451416015625,1.248,1.0410957038402557,1604.448,1428.4925117194653
relu,5.056,8.096048682928085,0.704,1.164093017578125,5.76,9.26014170050621
iadd,6.528,5.697435736656189,3.104,1.1910362243652344,9.632,6.888471961021423
linear,595.636,774.0931854248047,1.183,0.9529514014720917,596.819,775.0461368262768
relu,4.768,8.024248480796814,3.072,1.4133109897375107,7.84,9.437559470534325
linear,145.501,159.9820957183838,1.12,1.0786895602941513,146.621,161.06078527867794
cross_entrpy,24.896,40.24914789199829,363.8,375.7421569824219,388.696,415.99130487442017
cross_entrpy,13.312,11.60082459449768,701.618,456.52367401123047,714.9300000000001,468.12449860572815
relu,17.151,61.49645137786865,1619.168,2578.7805786132812,1636.319,2640.27702999115
iadd,11.743,46.68312454223633,0.736,-0.9505310319364071,12.479000000000001,45.73259351029992
relu,9.76,56.17940294742584,3856.146,4304.0216064453125,3865.9060000000004,4360.201009392738
iadd,25.983,57.37472677230835,2.368,6.133846282958984,28.351,63.508573055267334
adaptive_avg_pool2d,270.011,574.2747344970703,3.456,12.04327392578125,273.46700000000004,586.3180084228516
others,391.353,746.0753479003906,3.487,2.1960582733154297,394.84000000000003,748.271406173706
relu,180.476,198.78383255004883,1.857,1.0477905124425888,182.333,199.83162306249142
conv2d,2945.891,3116.5648803710938,44.864,60.120591163635254,2990.755,3176.685471534729
relu,183.932,186.1732635498047,2.432,0.8943023234605789,186.36399999999998,187.06756587326527
conv2d,3986.097,4582.039001464844,57.853,111.25564002990723,4043.9500000000003,4693.294641494751
relu,272.379,247.7516123453776,1.343,0.6107749342918396,273.72200000000004,248.36238727966943
conv2d,3352.766,3454.4661458333335,50.173,87.74172465006511,3402.9390000000003,3542.2078704833984
others,1218.312,1822.3689371744792,2.848,2.009749094645182,1221.1599999999999,1824.3786862691245
relu,574.804,607.917724609375,1.28,0.8415908217430115,576.084,608.759315431118
conv2d,8295.832,6392.36669921875,0.0,30.105785369873047,8295.832,6422.472484588623
others,1628.799,4095.8543701171875,1.408,1.4158172383904457,1630.2069999999999,4097.270187355578
relu,790.768,850.8136596679688,0.736,0.9939078688621521,791.504,851.8075675368309
conv2d,3246.464,4922.80615234375,20.126,18.076496124267578,3266.59,4940.882648468018
